regime,hft_frac,baseline_mean,treatment_mean,u_stat,p_value,significant_0_05
calendar,0.1,2.1247612171505437,1.963943650655925,398.0,0.7811793324758771,False
calendar,0.2,2.1247612171505437,1.8886259565497587,374.0,0.8709742524568819,False
calendar,0.3,2.1247612171505437,2.2357892571857265,477.0,0.34760769953345494,False
calendar,0.4,2.1247612171505437,2.5633265605649265,526.0,0.13216310639839268,False
calendar,0.5,2.1247612171505437,2.0564461659756157,460.0,0.44415142107669436,False
calendar,0.6,2.1247612171505437,2.4005949170107823,460.0,0.44415142107669436,False
calendar,0.7,2.1247612171505437,2.9846597107164987,548.0,0.07472435311523158,False
calendar,0.8,2.1247612171505437,2.7962403189281226,578.0,0.0297139575844762,True
calendar,0.9,2.1247612171505437,3.134076596768131,534.0,0.10850841227431085,False
calendar,1.0,2.1247612171505437,2.837014746717346,609.0,0.00955619837991427,True
event_time_V13,0.1,2.002417353277233,2.167574461065571,501.0,0.2276484534515688,False
event_time_V13,0.2,2.002417353277233,2.1158853463505856,519.0,0.15559382170513747,False
event_time_V13,0.3,2.002417353277233,2.4981406858846382,551.0,0.06866141742349648,False
event_time_V13,0.4,2.002417353277233,2.202377910906739,480.0,0.3313673790880535,False
event_time_V13,0.5,2.002417353277233,2.3026342337064887,523.0,0.1418890239728121,False
event_time_V13,0.6,2.002417353277233,2.4007920415983732,554.0,0.06298509658548616,False
event_time_V13,0.7,2.002417353277233,2.4569548072356016,528.0,0.12594041233095615,False
event_time_V13,0.8,2.002417353277233,2.533558057569184,577.0,0.030725955505628493,True
event_time_V13,0.9,2.002417353277233,2.6484829412386626,566.0,0.04385518874049068,True
event_time_V13,1.0,2.002417353277233,3.2304004649770355,684.0,0.00027805548918620026,True
event_time_V19,0.1,1.83094647755088,2.1393293315733386,527.0,0.12902574754311813,False
event_time_V19,0.2,1.83094647755088,2.191639483783677,536.0,0.10310274352650661,False
event_time_V19,0.3,1.83094647755088,2.3714835597624644,598.0,0.014602704784222504,True
event_time_V19,0.4,1.83094647755088,2.174153214765314,467.0,0.4036374753644574,False
event_time_V19,0.5,1.83094647755088,2.3200655767438616,591.0,0.01889100894708361,True
event_time_V19,0.6,1.83094647755088,2.5522153508662613,544.0,0.08343308523162984,False
event_time_V19,0.7,1.83094647755088,2.421527448356609,533.0,0.11128644823328254,False
event_time_V19,0.8,1.83094647755088,2.165735499545166,515.0,0.17014423254945843,False
event_time_V19,0.9,1.83094647755088,2.7424003707182676,653.0,0.001377424106027323,True
event_time_V19,1.0,1.83094647755088,2.456372313623407,541.0,0.09044976674896149,False
event_time_V6,0.1,1.9423511687599284,2.307898681403698,529.0,0.12290690122947068,False
event_time_V6,0.2,1.9423511687599284,2.3445085179451297,501.0,0.2276484534515688,False
event_time_V6,0.3,1.9423511687599284,2.48465970881299,472.0,0.37529361576115317,False
event_time_V6,0.4,1.9423511687599284,2.2949494669026693,497.0,0.2458914784767025,False
event_time_V6,0.5,1.9423511687599284,2.8786422970767775,541.0,0.09044976674896149,False
event_time_V6,0.6,1.9423511687599284,2.4063191824693377,541.0,0.09044976674896149,False
event_time_V6,0.7,1.9423511687599284,2.2526401757270107,499.0,0.23667327862922477,False
event_time_V6,0.8,1.9423511687599284,3.167852490766227,627.0,0.004534380496636773,True
event_time_V6,0.9,1.9423511687599284,2.317064132066608,491.0,0.2746633921339963,False
event_time_V6,1.0,1.9423511687599284,3.5119843087441667,626.0,0.004734134854307633,True
