regime,mode,volume_threshold,baseline_vol_ratio,threshold_1_3x,phi_star,max_vol_ratio,phi_at_max,n_runs_per_phi_min,n_runs_per_phi_max
calendar,calendar,,1.7459916904523225,2.269789197588019,0.2,3.392499547434251,0.4,30,30
event_time_V13,event_time,13.0,1.9711896431234306,2.56254653606046,0.2,3.850827759386176,0.8,30,30
event_time_V19,event_time,19.0,2.059919883116977,2.6778958480520703,0.8,3.257675464558717,0.9,30,30
event_time_V6,event_time,6.0,2.443794116686824,3.176932351692871,0.6,3.3573864936716173,0.9,30,30
