mode,regime,volume_threshold,hft_frac,run,seed,n_iter,shock_it,shock_dp,speed_multiplier,info_lag,softlimit,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.0,29,290002,500,200,-10,2,0,100,3.1452009018233817,2.888591404821537,0.19665271966527195,36,1.0,1.0,1,1.0,6130,0.0,12.914933333333332,
calendar,calendar,,0.1,0,102,500,200,-10,2,0,100,0.941061532652006,1.1358018706453672,0.1931106471816284,3,1.0,1.0,1,1.0,6368,0.0,12.914933333333332,
calendar,calendar,,0.1,1,10102,500,200,-10,2,0,100,3.969243054729204,2.876474314027305,0.22386483632523763,10,0.96,1.0,1,1.0,7434,0.0,12.914933333333332,
calendar,calendar,,0.1,2,20102,500,200,-10,2,0,100,4.740602876552583,5.345687787136103,0.28296146044624737,12,1.0,1.0,1,1.0,7288,0.0,12.914933333333332,
calendar,calendar,,0.1,3,30102,500,200,-10,2,0,100,2.2872585653668116,2.2510804690766633,0.19679849340866296,23,1.0,1.0,1,1.0,7003,0.0,12.914933333333332,
calendar,calendar,,0.1,4,40102,500,200,-10,2,0,100,1.4033186822234742,1.1856589148963301,0.1555555555555556,28,1.0,1.0,1,1.0,7096,0.0,12.914933333333332,
calendar,calendar,,0.1,5,50102,500,200,-10,2,0,100,2.023707687863587,2.024063706384398,0.20693069306930698,64,1.0,1.0,1,1.0,6602,0.0,12.914933333333332,
calendar,calendar,,0.1,6,60102,500,200,-10,2,0,100,1.7784180833860377,1.2977802645984,0.18536585365853658,26,1.0,1.0,1,1.0,7145,0.0,12.914933333333332,
calendar,calendar,,0.1,7,70102,500,200,-10,2,0,100,3.9777336467706723,3.072592555596551,0.23196347031963477,28,0.5666666666666667,1.0,1,1.0,7262,0.0,12.914933333333332,
calendar,calendar,,0.1,8,80102,500,200,-10,2,0,100,2.7946636887297576,3.180812127644534,0.11804961505560317,15,1.0,1.0,1,1.0,6844,0.0,12.914933333333332,
calendar,calendar,,0.1,9,90102,500,200,-10,2,0,100,3.05658769245981,2.932592190013476,0.1207983193277311,14,1.0,1.0,1,1.0,6927,0.0,12.914933333333332,
calendar,calendar,,0.1,10,100102,500,200,-10,2,0,100,0.977057027756775,1.09546813939467,0.11542610571736787,20,1.0,1.0,1,1.0,6076,0.0,12.914933333333332,
calendar,calendar,,0.1,11,110102,500,200,-10,2,0,100,1.6641619510591752,4.036354621857467,0.17089305402425578,300,0.9433333333333334,1.0,1,1.0,8751,0.0,12.914933333333332,
calendar,calendar,,0.1,12,120102,500,200,-10,2,0,100,1.9104345936389344,2.2924847130867265,0.2518315018315018,57,1.0,1.0,1,1.0,6381,0.0,12.914933333333332,
calendar,calendar,,0.1,13,130102,500,200,-10,2,0,100,2.792293240080376,3.0590019045698935,0.1408730158730159,23,0.9466666666666667,1.0,1,1.0,7419,0.0,12.914933333333332,
calendar,calendar,,0.1,14,140102,500,200,-10,2,0,100,1.4029404267348158,1.8426977835960483,0.1963133640552995,2,1.0,1.0,1,1.0,5735,0.0,12.914933333333332,
calendar,calendar,,0.1,15,150102,500,200,-10,2,0,100,1.0404800400815628,1.3806682370766121,0.10944206008583694,8,1.0,1.0,1,1.0,6458,0.0,12.914933333333332,
calendar,calendar,,0.1,16,160102,500,200,-10,2,0,100,3.2033051331058204,3.305938718740976,0.2412451361867704,36,0.94,1.0,1,1.0,7388,0.0,12.914933333333332,
calendar,calendar,,0.1,17,170102,500,200,-10,2,0,100,1.1799897621923605,1.5433316840910927,0.1127982646420825,5,1.0,1.0,1,1.0,6117,0.0,12.914933333333332,
calendar,calendar,,0.1,18,180102,500,200,-10,2,0,100,2.5441641276478917,4.013867391019121,0.15234822451317295,7,1.0,1.0,1,1.0,7904,0.0,12.914933333333332,
calendar,calendar,,0.1,19,190102,500,200,-10,2,0,100,2.133693205210294,1.3912179170451568,0.2032520325203252,16,1.0,1.0,1,1.0,6431,0.0,12.914933333333332,
calendar,calendar,,0.1,20,200102,500,200,-10,2,0,100,3.225959454766534,3.1341442895510956,0.2313596491228071,48,1.0,1.0,1,1.0,7141,0.0,12.914933333333332,
calendar,calendar,,0.1,21,210102,500,200,-10,2,0,100,2.2978775954956308,1.9668516586116782,0.17548746518105854,62,1.0,1.0,1,1.0,6217,0.0,12.914933333333332,
calendar,calendar,,0.1,22,220102,500,200,-10,2,0,100,1.7799256709228588,1.75131336835337,0.1931464174454828,143,1.0,1.0,1,1.0,6834,0.0,12.914933333333332,
calendar,calendar,,0.1,23,230102,500,200,-10,2,0,100,1.7084162923428836,2.810984904522703,0.20495049504950497,61,1.0,1.0,1,1.0,6386,0.0,12.914933333333332,
calendar,calendar,,0.1,24,240102,500,200,-10,2,0,100,3.0335463776947704,3.654135241731432,0.30400000000000005,96,1.0,1.0,1,1.0,7098,0.0,12.914933333333332,
calendar,calendar,,0.1,25,250102,500,200,-10,2,0,100,1.9477806021120212,1.820630767402365,0.1069958847736626,94,0.0,1.0,1,1.0,8350,0.0,12.914933333333332,
calendar,calendar,,0.1,26,260102,500,200,-10,2,0,100,1.970207659567924,1.3671148973894933,0.13116370808678512,27,1.0,1.0,1,1.0,6254,0.0,12.914933333333332,
calendar,calendar,,0.1,27,270102,500,200,-10,2,0,100,2.456267478466671,2.880884628992903,0.27386692381870786,28,1.0,1.0,1,1.0,7512,0.0,12.914933333333332,
calendar,calendar,,0.1,28,280102,500,200,-10,2,0,100,1.0603955191849685,0.994858172121671,0.09049773755656108,25,1.0,1.0,1,1.0,6406,0.0,12.914933333333332,
calendar,calendar,,0.1,29,290102,500,200,-10,2,0,100,1.4084157791864687,1.3830276383011846,0.1415384615384615,32,1.0,1.0,1,1.0,6197,0.0,12.914933333333332,
calendar,calendar,,0.2,0,202,500,200,-10,2,0,100,2.40192269289146,2.368149105591038,0.2733668341708543,300,0.4766666666666667,1.0,1,1.0,8926,0.0,12.914933333333332,
calendar,calendar,,0.2,1,10202,500,200,-10,2,0,100,3.4260141162031648,2.048393019301227,0.29700499168053246,30,1.0,1.0,1,1.0,6920,0.0,12.914933333333332,
calendar,calendar,,0.2,2,20202,500,200,-10,2,0,100,2.401266645150866,5.166435833492685,0.16276703967446593,62,0.9533333333333334,1.0,1,1.0,7777,0.0,12.914933333333332,
calendar,calendar,,0.2,3,30202,500,200,-10,2,0,100,1.7135040950474247,1.6143990658831011,0.18312559923298175,28,1.0,1.0,1,1.0,6489,0.0,12.914933333333332,
calendar,calendar,,0.2,4,40202,500,200,-10,2,0,100,2.3058034814309987,1.8962255781993294,0.18716577540106952,19,1.0,1.0,1,1.0,7322,0.0,12.914933333333332,
calendar,calendar,,0.2,5,50202,500,200,-10,2,0,100,1.9567395926991338,1.7324181165120482,0.20059288537549405,16,1.0,1.0,1,1.0,6439,0.0,12.914933333333332,
calendar,calendar,,0.2,6,60202,500,200,-10,2,0,100,2.825897218155697,4.026517417271267,0.18352450469238799,16,1.0,1.0,1,1.0,7095,0.0,12.914933333333332,
calendar,calendar,,0.2,7,70202,500,200,-10,2,0,100,3.040851038229619,4.119331949938944,0.16168327796234766,14,1.0,1.0,1,1.0,8003,0.0,12.914933333333332,
calendar,calendar,,0.2,8,80202,500,200,-10,2,0,100,1.2174238846198073,1.4114443000424086,0.09455587392550148,14,0.96,1.0,1,1.0,7423,0.0,12.914933333333332,
calendar,calendar,,0.2,9,90202,500,200,-10,2,0,100,2.587454777724908,3.1801669308948686,0.1609322974472808,5,1.0,1.0,1,1.0,8395,0.0,12.914933333333332,
calendar,calendar,,0.2,10,100202,500,200,-10,2,0,100,3.681862166663196,3.785654822700492,0.1828171828171828,55,1.0,1.0,1,1.0,6870,0.0,12.914933333333332,
calendar,calendar,,0.2,11,110202,500,200,-10,2,0,100,2.9716312639235167,2.7901111321003325,0.22057264050901376,18,1.0,1.0,1,1.0,7122,0.0,12.914933333333332,
calendar,calendar,,0.2,12,120202,500,200,-10,2,0,100,2.949182830776799,3.5223005714326874,0.2447257383966245,46,1.0,1.0,1,1.0,7216,0.0,12.914933333333332,
calendar,calendar,,0.2,13,130202,500,200,-10,2,0,100,2.3152799611423163,2.3563299532199604,0.16100178890876565,20,1.0,1.0,1,1.0,7273,0.0,12.914933333333332,
calendar,calendar,,0.2,14,140202,500,200,-10,2,0,100,5.189284930318747,7.12077929600524,0.12627291242362532,28,0.91,1.0,1,1.0,7699,0.0,12.914933333333332,
calendar,calendar,,0.2,15,150202,500,200,-10,2,0,100,2.2593394323777725,2.9488498495750983,0.21865284974093258,13,1.0,1.0,1,1.0,7889,0.0,12.914933333333332,
calendar,calendar,,0.2,16,160202,500,200,-10,2,0,100,1.8554924038897271,1.5238187874812092,0.11269035532994919,22,1.0,1.0,1,1.0,7467,0.0,12.914933333333332,
calendar,calendar,,0.2,17,170202,500,200,-10,2,0,100,0.7236725088529288,0.7803883601487579,0.18219461697722564,2,1.0,1.0,1,1.0,7082,0.0,12.914933333333332,
calendar,calendar,,0.2,18,180202,500,200,-10,2,0,100,2.8191345647594033,3.6635633049880503,0.0946502057613169,15,0.9733333333333334,1.0,1,1.0,7212,0.0,12.914933333333332,
calendar,calendar,,0.2,19,190202,500,200,-10,2,0,100,1.3274813735796613,1.2320399809630884,0.08775137111517375,17,1.0,1.0,1,1.0,6808,0.0,12.914933333333332,
calendar,calendar,,0.2,20,200202,500,200,-10,2,0,100,3.038118819525804,2.3625681216739984,0.0882352941176471,26,0.9733333333333334,1.0,1,1.0,7506,0.0,12.914933333333332,
calendar,calendar,,0.2,21,210202,500,200,-10,2,0,100,1.706509106112811,1.539522572641929,0.10436634717784889,4,1.0,1.0,1,1.0,6523,0.0,12.914933333333332,
calendar,calendar,,0.2,22,220202,500,200,-10,2,0,100,3.4363643219465,3.2263363574940445,0.13631522896698628,6,1.0,1.0,1,1.0,8111,0.0,12.914933333333332,
calendar,calendar,,0.2,23,230202,500,200,-10,2,0,100,0.4360438362478652,0.4685779996576189,0.08761329305135955,8,1.0,1.0,1,1.0,6843,0.0,12.914933333333332,
calendar,calendar,,0.2,24,240202,500,200,-10,2,0,100,7.986876576624415,9.116805459173678,0.1922685656154628,107,0.97,1.0,1,1.0,7454,0.0,12.914933333333332,
calendar,calendar,,0.2,25,250202,500,200,-10,2,0,100,1.2188689701480542,1.3455697308359944,0.14317180616740088,17,1.0,1.0,1,1.0,6424,0.0,12.914933333333332,
calendar,calendar,,0.2,26,260202,500,200,-10,2,0,100,2.9143648883044273,4.264659210893747,0.19337016574585636,26,0.95,1.0,1,1.0,7641,0.0,12.914933333333332,
calendar,calendar,,0.2,27,270202,500,200,-10,2,0,100,1.43185776544795,1.3972013354905921,0.2228381374722839,12,1.0,1.0,1,1.0,6655,0.0,12.914933333333332,
calendar,calendar,,0.2,28,280202,500,200,-10,2,0,100,1.326636545083971,1.693362764908992,0.211340206185567,13,1.0,1.0,1,1.0,6132,0.0,12.914933333333332,
calendar,calendar,,0.2,29,290202,500,200,-10,2,0,100,2.7532643946826476,2.3474590289687893,0.18006103763987796,36,0.9433333333333334,1.0,1,1.0,8257,0.0,12.914933333333332,
calendar,calendar,,0.3,0,302,500,200,-10,2,0,100,1.2836825819575413,1.5586081090592825,0.21393523061825329,31,1.0,1.0,1,1.0,7500,0.0,12.914933333333332,
calendar,calendar,,0.3,1,10302,500,200,-10,2,0,100,1.528788732752692,1.7277399975338477,0.3025210084033613,78,1.0,1.0,1,1.0,7849,0.0,12.914933333333332,
calendar,calendar,,0.3,2,20302,500,200,-10,2,0,100,1.4375433765621668,1.701904926617328,0.20459290187891435,14,1.0,1.0,1,1.0,7211,0.0,12.914933333333332,
calendar,calendar,,0.3,3,30302,500,200,-10,2,0,100,3.9524976630998276,4.349733919276178,0.11482254697286012,21,0.7833333333333333,1.0,1,1.0,9540,0.0,12.914933333333332,
