hft_frac,info_lag,softlimit,baseline_lag,baseline_softlimit,interaction_acf_abs_ret_1,baseline_acf_abs_ret_1,delay_only_acf_abs_ret_1,liquidity_only_acf_abs_ret_1,combined_acf_abs_ret_1,interaction_acf_abs_ret_5,baseline_acf_abs_ret_5,delay_only_acf_abs_ret_5,liquidity_only_acf_abs_ret_5,combined_acf_abs_ret_5,interaction_vol_persistence,baseline_vol_persistence,delay_only_vol_persistence,liquidity_only_vol_persistence,combined_vol_persistence,interaction_high_vol_cluster_share,baseline_high_vol_cluster_share,delay_only_high_vol_cluster_share,liquidity_only_high_vol_cluster_share,combined_high_vol_cluster_share,interaction_vol_ratio,baseline_vol_ratio,delay_only_vol_ratio,liquidity_only_vol_ratio,combined_vol_ratio
0.0,1,20,0,100,0.044670403659654245,0.2943054260142839,0.4391251221193561,0.3103353310378801,0.49982543080260655,0.05450274458259097,0.14086703580503895,0.17863768902359967,0.1427375210151067,0.23501091881625838,0.008220336762240543,0.9611762010481868,0.9662686724650101,0.9590447810063166,0.9723575891853805,-0.03857302118171707,0.43143812709030094,0.5635451505016723,0.2749163879598663,0.3684503901895206,-0.39345750354076303,1.9396308566231153,2.663776818122966,1.5186876716667532,1.8493761296258413
0.0,1,50,0,100,-0.06204679740926988,0.2943054260142839,0.4391251221193561,0.3481553911314339,0.43092828982723624,0.004692142349841777,0.14086703580503895,0.17863768902359967,0.14266341394241017,0.18512620951081266,-0.003066022519253142,0.9611762010481868,0.9662686724650101,0.9644136510341741,0.9664400999317443,-0.16967670011148284,0.43143812709030094,0.5635451505016723,0.3876254180602007,0.3500557413600892,-0.6747766205697685,1.9396308566231153,2.663776818122966,1.8520756675711147,1.9014450085011971
0.0,3,20,0,100,-0.0314014408053338,0.2943054260142839,0.35243892905577556,0.3103353310378801,0.33706739327403795,-0.05572158290079485,0.14086703580503895,0.24311225341953882,0.1427375210151067,0.18926115572881172,0.001660269907481915,0.9611762010481868,0.9709532895906209,0.9590447810063166,0.9704821394562326,-0.02619843924191756,0.43143812709030094,0.5032329988851727,0.2749163879598663,0.3205128205128205,-0.5668174662264511,1.9396308566231153,2.634863100326928,1.5186876716667532,1.6471024491441149
0.0,3,50,0,100,-0.054240691681347486,0.2943054260142839,0.35243892905577556,0.3481553911314339,0.3520482024915781,-0.0300066056121239,0.14086703580503895,0.24311225341953882,0.14266341394241017,0.21490202594478613,-0.004740305158697056,0.9611762010481868,0.9709532895906209,0.9644136510341741,0.9694504344179111,-0.0928651059085841,0.43143812709030094,0.5032329988851727,0.3876254180602007,0.36655518394648834,-0.6788817553125504,1.9396308566231153,2.634863100326928,1.8520756675711147,1.868426155962377
0.0,5,20,0,100,-0.005479008092740878,0.2943054260142839,0.31505672558093867,0.3103353310378801,0.325607622511794,0.0024832392502452116,0.14086703580503895,0.1890414906945873,0.1427375210151067,0.19339521515490027,0.005288976770297715,0.9611762010481868,0.9660190018631929,0.9590447810063166,0.9691765585916204,0.05696767001114822,0.43143812709030094,0.45462653288740246,0.2749163879598663,0.355072463768116,-0.2621041789873284,1.9396308566231153,2.4697466509433053,1.5186876716667532,1.786699286999615
0.0,5,50,0,100,-0.015529959121379888,0.2943054260142839,0.31505672558093867,0.3481553911314339,0.3533767315767088,0.0349082801600617,0.14086703580503895,0.1890414906945873,0.14266341394241017,0.22574614899202022,0.0039803756101198795,0.9611762010481868,0.9660190018631929,0.9644136510341741,0.9732368274593001,-0.09342251950947611,0.43143812709030094,0.45462653288740246,0.3876254180602007,0.3173913043478261,-0.4330063311407364,1.9396308566231153,2.4697466509433053,1.8520756675711147,1.9491851307505685
0.0,10,20,0,100,-0.03234986773342374,0.2943054260142839,0.33085594643583077,0.3103353310378801,0.3145359837260032,-0.005889243510583703,0.14086703580503895,0.18618482798015676,0.1427375210151067,0.1821660696796408,0.0019038480821121917,0.9611762010481868,0.9668721149978722,0.9590447810063166,0.9666445430381142,0.0387959866220734,0.43143812709030094,0.49018952062430327,0.2749163879598663,0.372463768115942,-0.2968978293036746,1.9396308566231153,2.4887314362241963,1.5186876716667532,1.77089042196416
0.0,10,50,0,100,-0.016173860830468345,0.2943054260142839,0.33085594643583077,0.3481553911314339,0.36853205072251244,-0.009104781704145942,0.14086703580503895,0.18618482798015676,0.14266341394241017,0.17887642441338203,-0.0008260360146724599,0.9611762010481868,0.9668721149978722,0.9644136510341741,0.969283528969187,-0.08405797101449286,0.43143812709030094,0.49018952062430327,0.3876254180602007,0.3623188405797101,-0.5400416967516461,1.9396308566231153,2.4887314362241963,1.8520756675711147,1.8611345504205496
0.2,1,20,0,100,-0.02915717982551541,0.2738371602487577,0.40146143239158316,0.3395950205944575,0.43806211291176755,-0.07175996545600492,0.12223668772525116,0.17749278952738312,0.22368280271255314,0.20717893905868018,-0.006640240019532118,0.9571686441524065,0.9647134070655509,0.9675686985734541,0.9684732214670663,-0.04559643255295415,0.3462653288740246,0.40156075808249725,0.3600891861761426,0.3697881828316611,-0.2667842276834622,2.0237133402670238,2.235928784136084,1.9668803529595729,1.9123115691451709
0.2,1,50,0,100,0.018371859834817816,0.2738371602487577,0.40146143239158316,0.2540271561537936,0.4000232881314369,0.010865659653987114,0.12223668772525116,0.17749278952738312,0.12419580769395465,0.19031756915007372,0.002724194532255142,0.9571686441524065,0.9647134070655509,0.9563492395687888,0.9666181970141883,0.11917502787068013,0.3462653288740246,0.40156075808249725,0.2552954292084727,0.42976588628762546,0.38878813769832044,2.0237133402670238,2.235928784136084,1.5436150525540888,2.1446186341214695
0.2,3,20,0,100,-0.06765599518455373,0.2738371602487577,0.3354322000323529,0.3395950205944575,0.333534065193499,-0.1046307797275682,0.12223668772525116,0.2332884670276362,0.22368280271255314,0.23010380228736999,-0.007355473911442978,0.9571686441524065,0.9685795578949301,0.9675686985734541,0.9716241384045347,-0.1800445930880712,0.3462653288740246,0.48416945373467113,0.3600891861761426,0.31794871794871793,-0.8893169436109929,2.0237133402670238,2.6834358691966878,1.9668803529595729,1.737285938278244
0.2,3,50,0,100,0.042615664205371384,0.2738371602487577,0.3354322000323529,0.2540271561537936,0.3582378601427602,-0.03197375775347293,0.12223668772525116,0.2332884670276362,0.12419580769395465,0.20327382924286674,-0.000624816855929744,0.9571686441524065,0.9685795578949301,0.9563492395687888,0.9671353364553826,-0.03255295429208471,0.3462653288740246,0.48416945373467113,0.2552954292084727,0.3606465997770345,-0.025383031351964735,2.0237133402670238,2.6834358691966878,1.5436150525540888,2.1779545501317883
0.2,5,20,0,100,-0.05874338647410471,0.2738371602487577,0.3126681466188135,0.3395950205944575,0.3196826204904086,-0.0902975769492761,0.12223668772525116,0.1965906758888315,0.22368280271255314,0.20773921392685737,-0.007098646110648477,0.9571686441524065,0.9665730141765106,0.9675686985734541,0.9698744224869097,-0.11772575250836104,0.3462653288740246,0.4577480490523969,0.3600891861761426,0.35384615384615387,-0.6851955527238167,2.0237133402670238,2.55339477895204,1.9668803529595729,1.8113662389207728
0.2,5,50,0,100,0.06376756649594928,0.2738371602487577,0.3126681466188135,0.2540271561537936,0.3566257090197987,0.02813690118576978,0.12223668772525116,0.1965906758888315,0.12419580769395465,0.22668669704330477,0.005298392742353553,0.9571686441524065,0.9665730141765106,0.9563492395687888,0.9710520023352465,-0.0035674470457078833,0.3462653288740246,0.4577480490523969,0.2552954292084727,0.3632107023411371,0.07256601220538816,2.0237133402670238,2.55339477895204,1.5436150525540888,2.1458625034444934
