info_lag,softlimit,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_panic_ratio_mean,mm_panic_ratio_std,mm_panic_ratio_ci_low,mm_panic_ratio_ci_high,acf_abs_ret_1_mean,acf_abs_ret_1_std,acf_abs_ret_1_ci_low,acf_abs_ret_1_ci_high,acf_abs_ret_5_mean,acf_abs_ret_5_std,acf_abs_ret_5_ci_low,acf_abs_ret_5_ci_high,vol_persistence_mean,vol_persistence_std,vol_persistence_ci_low,vol_persistence_ci_high,high_vol_cluster_share_mean,high_vol_cluster_share_std,high_vol_cluster_share_ci_low,high_vol_cluster_share_ci_high
0,20,0.0,30,1.5186876716667532,0.7489603258071569,1.26926552689508,1.7844237443085023,1.5317976645633269,0.6882496992660556,1.2831942005165178,1.7916241684547105,0.14599880884115596,0.04426713168030724,0.13018928969155558,0.1607209212117743,31.533333333333335,60.61849799236678,14.266666666666667,55.76916666666666,1.0,0.0,1.0,1.0,0.3103353310378801,0.11158897241390343,0.2719803258146586,0.34904590676035313,0.1427375210151067,0.09395800534066438,0.11145933603514803,0.17631120400586509,0.9590447810063166,0.012903687100552352,0.9544700209404126,0.9637029053361686,0.2749163879598663,0.16592832083419443,0.21883779264214043,0.33322742474916395
0,20,0.2,30,1.9668803529595729,1.0089165334677759,1.6341236825436485,2.323715052897271,1.8540551753666166,0.9736818461338638,1.54052365137773,2.2068694384889667,0.185917361737745,0.06168517476251935,0.16382352735235028,0.20828804800974654,21.2,14.069776852873508,16.299166666666668,26.204166666666662,1.0,0.0,1.0,1.0,0.3395950205944575,0.0880036043741333,0.3050315050762105,0.3713575906457243,0.22368280271255314,0.11565820240859873,0.18416744397653415,0.26353377782324555,0.9675686985734541,0.010006792030916839,0.9638515254339233,0.9709502382766889,0.3600891861761426,0.2081067524071909,0.2924163879598663,0.43080267558528423
0,20,0.4,30,1.897841186476996,1.151789208509982,1.5235411459514143,2.3007581251743,1.7688745364931682,1.0536741551724083,1.4169567896815447,2.1541286590463353,0.18750856889151687,0.08805356837033552,0.15952930207929275,0.21857567471941577,26.033333333333335,40.68591498492961,14.565000000000001,43.233333333333334,1.0,0.0,1.0,1.0,0.3119341071116103,0.07553559993897223,0.28702744519484186,0.33910308959382796,0.1500859459830844,0.09293837385245172,0.11392654926842181,0.18474247586736542,0.9630285238611893,0.010482624497561306,0.9594695139687324,0.9668718677002512,0.3086956521739131,0.21748292561082508,0.23500278706800448,0.38350334448160533
0,20,0.6,30,1.7673836772198757,0.8151466527242212,1.480812578121255,2.0632454833690184,1.669299875183859,0.6842555820918226,1.4158880676036358,1.9084185403303642,0.21909984612365982,0.08903014741545096,0.18737773385642115,0.25025034492135934,35.2,59.54389861328333,16.765833333333333,59.41666666666665,1.0,0.0,1.0,1.0,0.3293653037933976,0.12387433899194567,0.2839706775686799,0.3777859539636363,0.19597323289964255,0.08719468360504865,0.16539779973569893,0.2281076110694618,0.9636432563240337,0.01214094683589719,0.9592958828882996,0.9679900869682438,0.3134894091415831,0.1830224604574034,0.24324414715719067,0.37326923076923074
0,20,0.8,30,2.004907682213606,0.9091297812367806,1.7114636135174996,2.3529097614437897,1.933288156621439,0.9965333558167916,1.5935001720598527,2.303065788022393,0.26631002919470853,0.11622367383569468,0.22768165872586918,0.3086213904249175,29.033333333333335,31.875277776567426,18.830833333333334,40.802499999999995,1.0,0.0,1.0,1.0,0.2694621163870494,0.09034945046051894,0.24060522847631,0.29902191341066725,0.17309438664648746,0.10781422702171449,0.13420356571311645,0.20947281813429827,0.9605574967643637,0.01137673533314904,0.9565643034866419,0.9643010670786437,0.3337792642140468,0.15857557374833817,0.28103678929765885,0.3886399108138239
0,20,1.0,30,2.1608709008900786,0.9656928758586737,1.8213356505351646,2.494634513448985,2.0086085555697983,0.9443588836057734,1.686574794523208,2.3506577021025366,0.32246954981766524,0.11511995698741985,0.2844090150719923,0.3629567357771614,46.0,73.24074614961076,24.02500000000001,75.24416666666666,1.0,0.0,1.0,1.0,0.28637076417621254,0.12211652258816749,0.24588928167320065,0.3282853556157656,0.11895219462042664,0.08856106099687155,0.08803863863572366,0.15078122496485535,0.9534131377522688,0.017654500787224435,0.9471473726587262,0.9593330293481606,0.3821627647714604,0.20694624220201796,0.3095401337792643,0.45307971014492754
0,50,0.0,30,1.8520756675711147,0.8818572718413837,1.5600545999378068,2.208765606610329,1.9692284459173197,1.2949983474754339,1.5627189985948844,2.5062703859005113,0.14578946975033222,0.0388348676362785,0.1319971766247564,0.15916309590582087,40.8,75.27668503822964,18.355833333333344,69.07,0.9983333333333334,0.006709631665607483,0.9955555555555555,1.0,0.3481553911314339,0.09817753196637502,0.3143824009567161,0.38304158740397043,0.14266341394241017,0.08025498580972784,0.11524914472618679,0.1728978422730791,0.9644136510341741,0.010423171172100525,0.9606307224594578,0.9678654463593851,0.3876254180602007,0.24548766801427757,0.30423355629877374,0.4853985507246377
0,50,0.2,30,1.5436150525540888,0.7780877553261968,1.2768629546681305,1.8365700104691276,1.4458103377675011,0.7074579894582741,1.2126917520132217,1.731345716977319,0.1409689238248149,0.044206003240462456,0.12542941499026738,0.1568901888160812,26.6,53.01177487938004,14.231666666666667,47.87416666666666,1.0,0.0,1.0,1.0,0.2540271561537936,0.11553440597202348,0.21610374386464581,0.29788106806046133,0.12419580769395465,0.11749855522024827,0.08674262198491903,0.16953162233514524,0.9563492395687888,0.015741484272162404,0.9508602918233492,0.9619913403506419,0.2552954292084727,0.20294775937240062,0.1844899665551839,0.33021460423634336
0,50,0.4,30,2.3224366177075693,1.382982365731165,1.8720457941128859,2.8435581144086988,2.2364087227064076,1.3460599312040942,1.8145347056098595,2.7485200315418337,0.1843820541720664,0.07867823061588686,0.15764193187502556,0.21196096304345513,31.766666666666666,38.42384616384712,19.795000000000005,46.37,1.0,0.0,1.0,1.0,0.2970245525311793,0.09601286808998492,0.2618446191013228,0.3303099985799016,0.16708706812437438,0.08824250896503906,0.1374740509723557,0.19690515698479846,0.9603952634487914,0.011501585863445024,0.9563489380315707,0.9644013211455662,0.393422519509476,0.2363314620531802,0.3101449275362319,0.4803957636566333
0,50,0.6,30,2.1548833265193528,1.3077498753964685,1.696755717356459,2.627393519340594,2.1485135457707845,1.3716634601903046,1.6862522321735391,2.6477927502827385,0.21686914448402253,0.09966522978466334,0.18118403079514783,0.251318981675523,45.8,87.81540199524343,17.366666666666667,80.1725,0.998,0.008051557998728982,0.9946666666666667,1.0,0.2826855225932455,0.09096458808957017,0.25297025809791485,0.3166722932646466,0.10891662737804204,0.08971780777102374,0.07890781913900267,0.1405567611604326,0.9564041853637572,0.013476473811527823,0.9516863196316784,0.9612552405883807,0.39520624303233,0.2905461733162836,0.29185618729096985,0.4956661092530658
