hft_frac,n_pairs,diff_vol_ratio_mean,diff_vol_ratio_ci_low,diff_vol_ratio_ci_high,diff_vol_ratio_positive_share,diff_spread_ratio_mean,diff_spread_ratio_ci_low,diff_spread_ratio_ci_high,diff_spread_ratio_positive_share,diff_max_drawdown_mean,diff_max_drawdown_ci_low,diff_max_drawdown_ci_high,diff_max_drawdown_positive_share,diff_recovery_time_mean,diff_recovery_time_ci_low,diff_recovery_time_ci_high,diff_recovery_time_positive_share,diff_mm_panic_ratio_mean,diff_mm_panic_ratio_ci_low,diff_mm_panic_ratio_ci_high,diff_mm_panic_ratio_positive_share,diff_total_executed_volume_mean,diff_total_executed_volume_ci_low,diff_total_executed_volume_ci_high,diff_total_executed_volume_positive_share,diff_post_volume_mean,diff_post_volume_ci_low,diff_post_volume_ci_high,diff_post_volume_positive_share,diff_volume_per_tick_mean,diff_volume_per_tick_ci_low,diff_volume_per_tick_ci_high,diff_volume_per_tick_positive_share,diff_realized_vol_per_volume_mean,diff_realized_vol_per_volume_ci_low,diff_realized_vol_per_volume_ci_high,diff_realized_vol_per_volume_positive_share,diff_n_ticks_mean,diff_n_ticks_ci_low,diff_n_ticks_ci_high,diff_n_ticks_positive_share
0.0,50,-0.04761491199038535,-0.4486075659451256,0.326597819227467,0.52,-0.18124972088598934,-0.6747427894938012,0.20960807879335497,0.6,-0.005005548059800147,-0.01766604645214866,0.007734972597926014,0.44,-9.28,-24.202999999999996,2.100999999999999,0.38,0.0,0.0,0.0,0.0,7.78,6.1395,9.620499999999998,0.9,-18.7,-21.66,-15.698500000000001,0.06,-0.014590142217129376,-0.20026243736060864,0.16004980557140608,0.56,-6.106709642872696e-06,-5.7517500394641445e-05,4.312204038221647e-05,0.56,1.42,-5.6,8.540499999999998,0.42
0.2,50,0.14979075078385418,-0.2705505180018244,0.569743139247751,0.5,0.1479932691295422,-0.39838891615392263,0.7788368125162995,0.48,-0.0024251136715831676,-0.021133896052408164,0.014073065242047763,0.48,-5.4,-24.740999999999996,13.83099999999999,0.34,0.0,0.0,0.0,0.0,7.36,5.7195,9.080499999999999,0.88,-21.54,-24.98,-18.1795,0.02,0.1576354185442128,-0.08359196120448216,0.4145285380791941,0.5,8.352522718822886e-06,-6.800070783972817e-05,8.35247390002811e-05,0.54,-3.78,-12.581499999999998,4.78,0.48
0.4,50,-0.0554178732235815,-0.5423119795527181,0.41306488528896923,0.56,-0.08908000022168604,-0.6011801851127053,0.3994015924122377,0.5,-0.02866738604925672,-0.050721627602648596,-0.0032302312715048616,0.36,-14.8,-32.35099999999999,0.4809999999999991,0.44,0.0,0.0,0.0,0.0,8.16,6.0995,10.12,0.86,-17.68,-21.88,-14.0195,0.12,0.11723580920728366,-0.12987926406209283,0.36977535072074813,0.48,-2.509242777583537e-05,-0.0001005909716866093,5.840604728995631e-05,0.58,-2.52,-10.840499999999999,5.541499999999998,0.44
0.6,50,-0.08717038626494411,-0.49475196768461466,0.335424645317277,0.48,-0.1206318487101711,-0.575301937896754,0.2953264612882096,0.44,-0.00667062276525014,-0.034110523585779,0.021727260452221193,0.5,-1.5,-19.01199999999999,16.623499999999996,0.4,0.0,0.0,0.0,0.0,9.74,7.52,12.081499999999998,0.9,-20.62,-24.721999999999998,-16.8395,0.02,0.09644967556273329,-0.20910379259885278,0.40179013894940896,0.5,-7.362788448558898e-07,-6.668957230939035e-05,6.3709458059039e-05,0.52,-0.92,-9.462499999999999,7.901499999999999,0.44
