mode,run,seed,hft_frac,speed_mult,info_lag,book_volume,softlimit,n_ticks,shock_tick,calendar_target_ticks,target_total_volume,target_shock_volume,total_executed_volume,post_volume,volume_match_error,volume_per_tick,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,realized_vol_per_volume,shock_triggered
event_time,12,1200222,0.0,2,0,1000,100,491,201,500,6378.0,2528.0,6381.0,3835.0,3.0,12.995926680244398,1.4823945485507586,1.2111265977055847,0.10730804810360772,27,0.0,0.00020437099969014333,True
calendar,13,1300222,0.0,2,0,1000,100,500,200,500,5756.0,2509.0,5756.0,3247.0,0.0,11.512,0.646995949368327,0.8356916685076812,0.13077679449360863,27,0.0,0.00020774800047234087,True
event_time,13,1300222,0.0,2,0,1000,100,474,202,500,5756.0,2509.0,5775.0,3252.0,19.0,12.183544303797468,0.9527580698181478,1.1739490037742015,0.09877800407331978,1,0.0,0.00029860555805769854,True
calendar,14,1400222,0.0,2,0,1000,100,500,200,500,6172.0,2380.0,6172.0,3792.0,0.0,12.344,2.0823157547180204,1.6693605462084957,0.16918429003021146,28,0.0,0.0003949299266240323,True
event_time,14,1400222,0.0,2,0,1000,100,474,203,500,6172.0,2380.0,6189.0,3767.0,17.0,13.056962025316455,1.9093023995920666,1.7356697220664161,0.15762538382804508,19,0.0,0.0004148409414801879,True
calendar,15,1500222,0.0,2,0,1000,100,500,200,500,6735.0,2636.0,6735.0,4099.0,0.0,13.47,2.656496268103528,3.460129450611185,0.21790235081374318,300,0.0,0.00038649657702563594,True
event_time,15,1500222,0.0,2,0,1000,100,478,202,500,6735.0,2636.0,6737.0,4064.0,2.0,14.094142259414227,4.3633320815770205,4.074373588157168,0.2256317689530686,41,0.0,0.000554691126560454,True
calendar,16,1600222,0.0,2,0,1000,100,500,200,500,6570.0,2937.0,6570.0,3633.0,0.0,13.14,1.182642268729874,1.4637155415864131,0.1314508276533593,2,0.0,0.0002404034799000589,True
event_time,16,1600222,0.0,2,0,1000,100,507,205,500,6570.0,2937.0,6588.0,3628.0,18.0,12.994082840236686,1.2309728940937736,1.6146817444656987,0.15324165029469544,3,0.0,0.0002808702868171344,True
calendar,17,1700222,0.0,2,0,1000,100,500,200,500,5884.0,2204.0,5884.0,3680.0,0.0,11.768,1.7792515459451173,1.531126064114425,0.10638297872340426,26,0.0,0.00026443483085720836,True
event_time,17,1700222,0.0,2,0,1000,100,494,202,500,5884.0,2204.0,5886.0,3656.0,2.0,11.914979757085021,1.7113062965868233,1.3703470068096044,0.10156250000000006,16,0.0,0.00021393490147064733,True
calendar,18,1800222,0.0,2,0,1000,100,500,200,500,6277.0,2608.0,6277.0,3669.0,0.0,12.554,1.3450675139791786,1.2753338028309384,0.1636167922497309,9,0.0,0.0002922758758108462,True
event_time,18,1800222,0.0,2,0,1000,100,495,202,500,6277.0,2608.0,6285.0,3644.0,8.0,12.696969696969697,1.368122620425723,1.2755641206425488,0.13157894736842105,7,0.0,0.0002390726419010537,True
