hft_frac,info_lag,speed_mult,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,run,grid
0.0,0,1,2.348571771232874,2.830242940146345,0.1274900398406375,9,1.0,0,speed
0.0,0,1,2.6248820203719054,3.116689296188165,0.214670981661273,14,1.0,1,speed
0.0,0,1,1.7816065469602105,2.243060794951247,0.1878980891719745,7,1.0,2,speed
0.0,0,1,1.999777221910967,2.1289777646149384,0.1102941176470588,15,0.9833333333333332,3,speed
0.0,0,1,1.0887063697871624,1.2387307071337517,0.165182987141444,300,1.0,4,speed
0.0,0,1,1.4792009727759887,1.557796102488518,0.1044776119402985,117,1.0,5,speed
0.0,0,1,1.7190637448003805,1.6225743264683987,0.1569703622392974,7,1.0,6,speed
0.0,0,1,2.924518514307465,4.8515612582956935,0.1131465517241379,29,0.9133333333333332,7,speed
0.0,0,1,2.803000791478753,3.280758870018056,0.1300108342361863,10,1.0,8,speed
0.0,0,1,1.909394936671105,2.1942670038859755,0.2354740061162079,218,1.0,9,speed
0.0,0,1,1.2672258723866583,1.1347230096149532,0.0954825462012321,15,1.0,10,speed
0.0,0,1,2.5739553719643427,2.1810999387455707,0.2200614124872057,20,1.0,11,speed
0.0,0,1,3.083695005535611,2.9314332744794926,0.1477732793522266,6,1.0,12,speed
0.0,0,1,1.5738394954585395,1.7359476450547873,0.0942307692307692,21,0.9733333333333334,13,speed
0.0,0,1,1.945939368149347,1.6052682964887794,0.1329055912007332,19,1.0,14,speed
0.0,0,1,1.8741723297328463,1.4635373041578024,0.1900668576886342,40,1.0,15,speed
0.0,0,1,3.1689003538774165,3.750609242550014,0.131578947368421,16,0.99,16,speed
0.0,0,1,0.9963332468928736,0.9185663135353992,0.1499013806706114,17,1.0,17,speed
0.0,0,1,1.303644700236184,1.04790431230452,0.1339198435972629,32,1.0,18,speed
0.0,0,1,0.7836691066613636,0.8518126455083231,0.0867158671586716,18,1.0,19,speed
0.0,0,1,6.9709973039780655,9.022959204292665,0.1784615384615385,83,0.85,20,speed
0.0,0,1,1.765726849248355,1.6232377500660136,0.1742919389978213,79,1.0,21,speed
0.0,0,1,1.7289187406331736,2.2919744347318436,0.1485249237029501,50,1.0,22,speed
0.0,0,1,2.373048366645231,2.1928996759217614,0.2063492063492064,23,1.0,23,speed
0.0,0,1,3.1207526291498024,3.34868233519965,0.1605603448275861,18,1.0,24,speed
0.0,0,1,1.323670458361385,1.3786777312013974,0.1079958463136032,23,1.0,25,speed
