fast_share,run,vol_ratio,spread_ratio,recovery_time,max_drawdown,mm_panic_ratio
0.0,0,1.6665605768963045,1.6192519328320176,20,0.16131830008673023,1.0
0.0,1,1.2538654713367516,1.2139349069667753,300,0.11825487944890928,1.0
0.0,2,1.820864933873909,2.0196693960976293,97,0.11740890688259104,1.0
0.0,3,1.8767038957667912,1.8901373149009562,11,0.09351145038167936,1.0
0.0,4,1.2275206773251364,1.0419181462947151,300,0.09677419354838718,0.0
0.0,5,1.5997033111444228,1.6036108799662758,23,0.1044776119402985,0.6933333333333334
0.0,6,1.4708558871529362,1.264735264252315,17,0.09819639278557112,1.0
0.0,7,2.006605037867143,1.7303866502952774,15,0.1512059369202226,0.93
0.0,8,1.398647410462805,1.549134821798781,47,0.09664292980671414,1.0
0.0,9,2.3396149708351164,2.481747691231313,22,0.10261374636979666,0.9166666666666666
0.0,10,1.3289743257571027,1.4371296042571808,44,0.111984282907662,1.0
0.0,11,2.4163029481345815,1.8726855872958232,35,0.10416666666666667,0.9766666666666667
0.0,12,1.5815835625006225,1.7160667466700221,24,0.10076775431861804,0.9066666666666666
0.0,13,1.3930267226827588,1.1738585157945998,16,0.08837209302325581,1.0
0.0,14,1.3381402701056744,1.3549380177372259,12,0.098330241187384,1.0
0.0,15,1.6407207181107983,2.1399103686404364,300,0.1038696537678208,0.9733333333333334
0.0,16,1.8390846980403002,2.386093134152272,26,0.10425101214574896,0.28
0.0,17,2.278579777646102,2.191339960094896,34,0.10180780209324443,0.91
0.0,18,1.24718166308405,1.5622608322828662,19,0.12931798051372903,1.0
0.0,19,1.6720611953886462,1.6750864554985059,11,0.09800190294957181,1.0
0.0,20,3.065190178920265,3.599858668988512,129,0.10982048574445623,0.89
0.0,21,1.5755474920079555,1.7989973298028203,298,0.10000000000000006,0.9833333333333333
0.0,22,1.4847788455404212,2.706014720099484,75,0.12334352701325173,0.9566666666666667
0.0,23,1.8029475003004019,2.1712005647382036,300,0.18459915611814345,0.9966666666666667
0.0,24,2.714833254129733,3.7584766769386757,185,0.11434511434511434,1.0
0.0,25,1.07004571699902,1.0281384130833615,9,0.09936189608021882,1.0
0.0,26,1.963013001952002,2.0855249079885447,263,0.10943775100401598,0.7466666666666667
0.0,27,1.222427500690517,1.2620248299785313,221,0.10194174757281553,1.0
0.0,28,1.6830811133270565,2.0807821509046525,86,0.10212335692618815,0.8
0.0,29,2.0607696629984127,2.4644578586645753,13,0.09158186864014793,1.0
0.1,0,1.1561823344908642,1.265573916789447,11,0.09876543209876536,1.0
0.1,1,1.5961635614562653,1.6175208749673085,199,0.12567713976164674,0.8933333333333333
0.1,2,1.4051163644148825,1.5891613485872857,266,0.10978260869565211,1.0
0.1,3,1.7572749491050388,1.5213650835103867,14,0.10272168568920108,0.9366666666666666
0.1,4,1.0557632924348301,1.100777546178444,0,0.08785529715762265,1.0
0.1,5,1.3371087591960586,1.2498354359778057,159,0.12295869356388087,1.0
0.1,6,1.3990183758632495,1.7545169668953942,15,0.18005540166204986,0.99
0.1,7,1.150110531986457,1.1062068181949074,15,0.08803827751196175,1.0
0.1,8,1.6511140951491137,1.6463260106588775,10,0.1117266851338873,1.0
0.1,9,1.5692788823743307,1.6391276087140347,11,0.0878003696857671,1.0
0.1,10,1.3204832282518848,1.6330560731967463,300,0.12256586483390611,1.0
0.1,11,1.8257477396039807,3.4136138702916052,41,0.11197339246119743,0.9533333333333334
0.1,12,1.5212753052943933,1.277386611228422,16,0.09753694581280793,1.0
0.1,13,1.1449967577269644,1.1091838154214895,1,0.12369337979094079,1.0
0.1,14,1.5533128758118862,1.6153817859422583,12,0.10412573673870329,1.0
0.1,15,1.3136827478766209,1.7413882620968022,47,0.09505703422053231,0.88
0.1,16,0.9563352761241803,1.1618877731732946,22,0.10644531250000006,1.0
0.1,17,1.8938523429638687,5.098994663880223,300,0.1412680756395996,1.0
0.1,18,2.548490974255541,2.6018990557298878,7,0.09888059701492545,0.8933333333333333
0.1,19,2.4657637649501414,2.210557889164506,9,0.12477718360071301,1.0
0.1,20,1.6775687253240448,2.5441368899054835,19,0.13894324853228965,1.0
0.1,21,1.3741109535753107,1.1134180143166459,28,0.11315280464216637,1.0
0.1,22,1.1949127235102632,1.2771598407481708,13,0.098330241187384,1.0
0.1,23,1.4262587795770598,1.29327276599933,21,0.09586466165413536,0.9
0.1,24,1.3204524205827224,1.901349972306054,51,0.10810810810810811,0.0
0.1,25,1.2894268257473398,1.3003898918110224,202,0.12195121951219512,1.0
0.1,26,1.3742639728158246,1.1488183803390526,0,0.10769230769230767,1.0
0.1,27,1.3992226101625325,1.6199438910812094,30,0.10174418604651163,1.0
0.1,28,1.41962607350601,1.670861923726277,16,0.10646766169154231,0.9233333333333333
0.1,29,1.8373942091651818,2.3395803314992993,61,0.10483870967741941,0.36
0.2,0,1.4742117081951798,1.75054319747492,300,0.11088082901554407,0.0
0.2,1,1.6625342200619766,1.476859425976664,15,0.09715407262021594,1.0
0.2,2,0.9845783385546811,1.035875116349014,70,0.13711340206185563,1.0
0.2,3,1.703814997215817,1.850372366407842,20,0.15495668912415791,0.9866666666666667
0.2,4,3.1043955034269017,5.440270333448348,300,0.10363247863247851,0.9866666666666667
0.2,5,1.2291689843262363,1.279893398320566,17,0.10120705663881156,1.0
0.2,6,1.5472230116298509,1.358415786368178,25,0.09680638722554893,1.0
0.2,7,1.1565102008718429,1.2697833021671918,12,0.10009099181073702,1.0
0.2,8,1.7242654426374724,1.428566807230428,26,0.11075268817204298,1.0
0.2,9,1.0778708538293713,1.3646569082586288,137,0.10654827968923412,1.0
0.2,10,1.6380288394811362,2.01824719572964,79,0.11229946524064172,1.0
0.2,11,1.2118653737937284,1.1274082722446432,300,0.17395626242544732,0.11333333333333333
0.2,12,1.050306655787601,1.2793459055446164,300,0.2700228832951946,1.0
0.2,13,1.2902150943186201,1.4249725865381058,14,0.10786290322580648,0.99
0.2,14,1.5042501060957851,1.7803871602775287,174,0.10520487264673312,1.0
