run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
0,320,0.0,0,300,2,100,500,200,-10,1.049465078646028,1.6084725005097846,0.2330508474576271,300,0.7433333333333333,0.15771885414143044,0.06335210205301488,0.9281836699258612,0.4080267558528428
1,1000320,0.0,0,300,2,100,500,200,-10,2.2552013693194906,2.757275524929174,0.10657370517928288,10,1.0,0.22938464171162595,0.0345318111327459,0.9396036940000013,0.6053511705685619
2,2000320,0.0,0,300,2,100,500,200,-10,2.0071780909294024,1.947168510403223,0.2868778280542987,8,1.0,0.19779795654182594,0.1327963231379732,0.9667288858147679,0.2408026755852843
3,3000320,0.0,0,300,2,100,500,200,-10,1.4081708852640216,1.4444896363417365,0.09519230769230774,4,1.0,0.36928943741223624,0.14552024022764437,0.9625311541550164,0.3210702341137124
4,4000320,0.0,0,300,2,100,500,200,-10,1.2981213572244572,1.5320971147200793,0.4405172413793103,18,1.0,0.40606961936545505,0.23999419046582093,0.9668997460078215,0.18394648829431437
5,5000320,0.0,0,300,2,100,500,200,-10,2.483619818022388,2.1812823627218707,0.09469026548672568,57,1.0,0.1963740965965812,0.10557719638269764,0.9483838687080979,0.7558528428093646
6,6000320,0.0,0,300,2,100,500,200,-10,3.165725967179568,3.2896924819461404,0.30585683297180044,29,1.0,0.1667303388537439,0.09895692739870739,0.9560416489436573,0.36789297658862874
7,7000320,0.0,0,300,2,100,500,200,-10,3.1326155623573477,4.612480967183943,0.11275964391691387,31,0.93,0.22131551421018522,0.13846755143721967,0.9475348114281829,0.8963210702341137
8,8000320,0.0,0,300,2,100,500,200,-10,1.6344419709600086,1.6293485670945198,0.14381591562799617,10,1.0,0.41221491393372706,0.21936490636383105,0.9669143695976458,0.22073578595317725
9,9000320,0.0,0,300,2,100,500,200,-10,1.0735486709921334,1.345203422735583,0.1130346232179227,6,1.0,0.2519618362594798,0.05588633237867113,0.9690540218300958,0.06688963210702341
