info_lag,baseline_vol_ratio,threshold_1_3x,phi_star,max_vol_ratio,phi_at_max,n_runs_per_phi_min,n_runs_per_phi_max
0,1.9307114204384779,2.5099248465700215,,2.1970645633085777,1.0,30,30
1,2.188087759127053,2.844514086865169,,2.439656693295141,0.7,30,30
3,2.4536997107415868,3.189809623964063,,2.4536997107415868,0.0,30,30
5,2.2016032542023463,2.8620842304630503,,2.436742118429193,0.7,30,30
10,2.535192408323069,3.29575013081999,,2.5524377089908312,0.3,30,30
