hft_frac,info_lag,book_volume,metric,n_boot,n_base,n_delay,n_thin_book,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.0,1,300,acf_abs_ret_1,1000,30,30,30,30,0.003397856682961442,0.003317961959790069,-0.07530791000227804,0.08253162650693771,0.906,False,True
0.0,1,300,acf_abs_ret_5,1000,30,30,30,30,-0.08400610331398622,-0.08510657880177182,-0.15553014880627472,-0.014484137026841206,0.02,True,False
0.0,1,300,vol_persistence,1000,30,30,30,30,0.0037705694628459296,0.003915249015401778,-0.0041122799824018065,0.012254540034564238,0.37,False,True
0.0,1,300,high_vol_cluster_share,1000,30,30,30,30,0.07558528428093647,0.07532552954292081,-0.08881270903010043,0.24117056856187283,0.368,False,True
0.0,1,300,vol_ratio,1000,30,30,30,30,0.38885426980622473,0.3863734453016862,-0.6829708599741791,1.5068565349496312,0.454,False,True
0.0,1,600,acf_abs_ret_1,1000,30,30,30,30,0.015099191811168644,0.014047419190753679,-0.06844136140367256,0.0925901910365219,0.696,False,True
0.0,1,600,acf_abs_ret_5,1000,30,30,30,30,-0.03833565081919968,-0.038229598514054046,-0.10621576090722232,0.03143321859370828,0.294,False,False
0.0,1,600,vol_persistence,1000,30,30,30,30,0.00259159058188585,0.0025882487969775807,-0.005688397972999753,0.01065376290909372,0.524,False,True
0.0,1,600,high_vol_cluster_share,1000,30,30,30,30,0.01850613154960984,0.016936566332218524,-0.14383221850613157,0.18505852842809362,0.874,False,True
0.0,1,600,vol_ratio,1000,30,30,30,30,-0.24582976366904408,-0.22308402518983156,-0.9722380736420632,0.5783799922704108,0.59,False,False
0.0,1,1000,acf_abs_ret_1,1000,30,30,30,30,0.007489837346907169,0.006262184864106334,-0.08136635041630351,0.09308913110273599,0.874,False,True
0.0,1,1000,acf_abs_ret_5,1000,30,30,30,30,-0.03761102961208415,-0.03687538514819228,-0.10792085125298494,0.03372392439316958,0.312,False,False
0.0,1,1000,vol_persistence,1000,30,30,30,30,0.00038174217596298465,0.0006728818461178235,-0.007971308249053021,0.008441017898104069,0.854,False,True
0.0,1,1000,high_vol_cluster_share,1000,30,30,30,30,0.12575250836120427,0.13209866220735791,-0.036574693422519615,0.306329431438127,0.128,False,True
0.0,1,1000,vol_ratio,1000,30,30,30,30,0.11996683891198812,0.09042302373600938,-0.8201415857316693,0.9553956408046492,0.842,False,True
0.0,3,300,acf_abs_ret_1,1000,30,30,30,30,0.026036286329391367,0.02616367011657481,-0.046476804578538776,0.10260168977749952,0.506,False,True
