shock_dp,speed_mult,baseline_vol_ratio,threshold_1_3x,phi_star,max_vol_ratio,phi_at_max,n_runs_per_phi_min,n_runs_per_phi_max
-0.5,2,1.7262333963096832,2.2441034152025883,0.4,3.1857044047902394,1.0,30,30
-1.0,2,1.7264645750748664,2.2444039475973265,0.4,3.1726423944589763,0.9,30,30
-2.0,2,1.7605412193632353,2.2887035851722057,0.3,3.1364941245752704,1.0,30,30
-5.0,2,1.9907770395595283,2.5880101514273868,0.7,3.260022434427002,0.8,30,30
-10.0,2,2.3123192439916047,3.0060150171890863,0.5,3.721872363712843,0.9,30,30
