fast_share,run,crisis_share,mm_panic_ratio,spread_ratio
0.0,0,0.8275862068965517,1.0,1.2856089632339947
0.0,1,0.8620689655172413,1.0,1.2330065902543936
0.0,2,0.8275862068965517,1.0,1.3974241613018756
0.0,3,0.7931034482758621,1.0,1.56121362271697
0.0,4,0.8275862068965517,0.7433333333333333,1.3590449998275551
0.0,5,0.896551724137931,0.7166666666666667,1.9352085328322806
0.0,6,0.7241379310344828,1.0,1.4061210120986183
0.0,7,0.8275862068965517,0.09333333333333334,1.2908067226359528
0.0,8,0.8275862068965517,1.0,1.291048041088399
0.0,9,0.8275862068965517,0.2966666666666667,1.62842266048347
0.1,0,0.8275862068965517,1.0,1.3023324233818157
0.1,1,0.896551724137931,0.7,1.371150272142734
0.1,2,0.896551724137931,1.0,1.6439736011627666
0.1,3,0.7931034482758621,0.9433333333333334,1.6233875565174827
0.1,4,0.7931034482758621,1.0,0.841485678008425
0.1,5,0.7586206896551724,1.0,1.1138342047890466
0.1,6,0.8275862068965517,0.8233333333333334,1.5149565538524674
0.1,7,0.7931034482758621,1.0,1.3057770635403387
0.1,8,0.7931034482758621,1.0,1.1767580517094314
0.1,9,0.8275862068965517,1.0,1.3743660241866313
0.2,0,0.8275862068965517,0.43,1.4987329792360062
0.2,1,0.7586206896551724,1.0,1.2446869585960962
0.2,2,0.7931034482758621,1.0,0.8890303057723615
0.2,3,0.7586206896551724,0.0,1.0928098036123073
0.2,4,0.9310344827586207,0.9233333333333333,4.881552471446236
0.2,5,0.7586206896551724,1.0,1.041417409319886
0.2,6,0.7931034482758621,1.0,1.2339557933440526
0.2,7,0.7586206896551724,1.0,1.0299672645644793
0.2,8,0.7586206896551724,1.0,1.5344202538053522
0.2,9,0.8275862068965517,1.0,1.4788155549721491
0.3,0,0.7931034482758621,0.42,2.1367712515118247
0.3,1,0.8620689655172413,0.47,1.7469529865794013
0.3,2,0.7586206896551724,1.0,1.2314749164063246
0.3,3,0.6551724137931034,1.0,1.1677477349792889
0.3,4,0.8275862068965517,1.0,1.175306767915592
0.3,5,0.896551724137931,1.0,1.0617797324032128
0.3,6,0.8275862068965517,1.0,1.018507320540105
0.3,7,0.6896551724137931,0.4766666666666667,1.2087057967780586
0.3,8,0.896551724137931,0.8866666666666667,2.7765953567709287
0.3,9,0.8275862068965517,1.0,0.9674848897074214
0.4,0,0.8275862068965517,1.0,1.5362796898210542
0.4,1,0.7931034482758621,0.9833333333333333,1.7022533857410813
0.4,2,0.7931034482758621,0.7133333333333334,0.9721571428380313
0.4,3,0.896551724137931,1.0,0.9631513685407144
0.4,4,0.7586206896551724,1.0,1.1545904989548608
0.4,5,0.6896551724137931,1.0,1.261876323421985
0.4,6,0.8275862068965517,1.0,1.2068017192718703
0.4,7,0.7586206896551724,1.0,1.8856198810324531
0.4,8,0.8275862068965517,1.0,1.331392850145245
0.4,9,0.7931034482758621,1.0,1.5414800030165796
0.5,0,0.7241379310344828,1.0,1.0724001139665873
0.5,1,0.896551724137931,1.0,1.4841618735525919
0.5,2,0.8620689655172413,1.0,1.3813835360929902
0.5,3,0.7586206896551724,1.0,1.4608296392801672
0.5,4,0.9310344827586207,1.0,1.040989520447618
0.5,5,0.8275862068965517,1.0,1.1940487756647817
0.5,6,0.8620689655172413,1.0,1.2884002290187657
0.5,7,0.8620689655172413,1.0,1.0435596223042036
0.5,8,0.8275862068965517,1.0,1.2436503202067732
0.5,9,0.8275862068965517,1.0,1.2464056468501992
0.6,0,0.896551724137931,0.5866666666666667,1.4787514306240928
0.6,1,0.6551724137931034,1.0,1.245719009700092
0.6,2,0.7931034482758621,1.0,1.0428302808809022
0.6,3,0.7931034482758621,1.0,0.8645594214993672
0.6,4,0.8275862068965517,1.0,1.4519903649982595
0.6,5,0.7241379310344828,0.9833333333333333,1.7856772764196185
0.6,6,0.7931034482758621,1.0,1.2214689861461885
0.6,7,0.8275862068965517,1.0,1.066035951997899
0.6,8,0.8275862068965517,1.0,1.245826666168336
0.6,9,0.8275862068965517,1.0,1.353928631093829
0.7,0,0.7931034482758621,1.0,0.8905036242763322
0.7,1,0.7931034482758621,1.0,1.4223413059119092
0.7,2,0.7241379310344828,1.0,1.5384705503993914
0.7,3,0.7931034482758621,1.0,1.6239100416332102
0.7,4,0.8620689655172413,1.0,1.1274918717547735
0.7,5,0.7931034482758621,1.0,1.657168928849803
0.7,6,0.8620689655172413,1.0,1.0309464038502458
0.7,7,0.7586206896551724,1.0,1.9759401285143674
