grid,speed_mult,info_lag,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
noisy_delay,1,0,0.0,1.9307114204384779,0.8097041308042666,2.201687213743001,1.3026549678551527,0.1584242918613042,0.054226895937096925,38.9,56.10971395400265,0.9886666666666667,0.04864130972223358,30
noisy_delay,1,0,0.1,2.1155904400400107,0.9892393331509162,2.3261930189537097,1.353641266067942,0.1552132752312845,0.05472949366132915,44.833333333333336,74.08619552802054,0.9876666666666666,0.029258394348404406,30
noisy_delay,1,0,0.2,2.1480206994626303,1.1963326474699159,2.35888511403528,1.34027301824611,0.14732814411389147,0.056619530671956485,42.03333333333333,71.87128501143835,0.9984444444444445,0.006476206574563859,30
noisy_delay,1,0,0.3,2.0285962071948966,0.9621224637629339,2.3670108205566245,1.5116724903002208,0.13965329402215004,0.03905508308806553,24.1,22.13337314772766,0.9987777777777779,0.004671863554052932,30
noisy_delay,1,0,0.4,2.0819502052488765,0.8995562429140926,2.2983018706549543,1.2377791815195356,0.1459717560890579,0.048419280152931364,38.63333333333333,48.43658017294961,0.9692222222222223,0.07280732634040207,30
noisy_delay,1,0,0.5,1.8434000634552627,0.6965286515093614,2.1061013566878306,0.9023003522507353,0.15406909115542217,0.0466213101551276,46.4,86.80481474013389,0.9670000000000001,0.10039137970350819,30
noisy_delay,1,0,0.6,1.9361989399638404,0.9428752407448207,1.989840818579207,1.022803733883524,0.14623089431727138,0.04815154468120799,38.5,68.63182633594197,0.9915555555555555,0.027441799553009193,30
noisy_delay,1,0,0.7,1.8836658234665602,0.7883744557141859,1.903282996193056,0.7972708934296702,0.14744651462531155,0.04671929875884885,27.166666666666668,46.73187152353256,0.9922222222222222,0.020628688377196298,30
noisy_delay,1,0,0.8,2.0553560400465214,1.0791890506206607,2.26180287731139,1.4053260024820677,0.14093328183402745,0.04627974385987647,37.43333333333333,53.14111554078951,0.9818888888888889,0.0488070980747437,30
noisy_delay,1,0,0.9,1.9399439409516968,0.9585222952692006,2.108714227632201,1.4692242193785596,0.15001861129795355,0.06030249368884495,21.2,14.059970078940056,0.9583333333333334,0.15087166909794056,30
noisy_delay,1,0,1.0,2.1970645633085777,0.9432732919146126,2.5382032701269788,1.4844431276944177,0.16172421767982406,0.05137590011567793,36.733333333333334,55.4118954821033,0.9968888888888888,0.009626485389023482,30
noisy_delay,1,1,0.0,2.188087759127053,1.453162634822759,2.528226938182686,1.8776150551652946,0.13280547454132066,0.043027173565141526,21.633333333333333,17.891402931312424,0.9602222222222222,0.14760653230136264,30
noisy_delay,1,1,0.1,2.3582185856607314,1.1941689991694868,2.636009569625996,1.372732509821811,0.15107564626434333,0.05990025937190525,32.86666666666667,52.64175170896677,0.9505555555555555,0.18368531172093722,30
noisy_delay,1,1,0.2,1.962669350174924,0.8789078184710591,2.181589686842954,1.063605819463095,0.14330847627267224,0.044954246694660284,41.43333333333333,71.49520520857389,0.9757777777777777,0.07731080395833786,30
noisy_delay,1,1,0.3,2.1822584110442076,1.1554013745134617,2.6748872359349516,1.866048695496905,0.1593633054466492,0.04514718801788345,33.9,52.53199353563109,0.9721111111111111,0.07124768374716389,30
noisy_delay,1,1,0.4,1.7279235402265902,0.7786620035577226,1.9820858202338196,1.2513148073983318,0.12597182124999864,0.0361346453982585,17.833333333333332,16.838140886266128,0.9306666666666668,0.20398407270105387,30
noisy_delay,1,1,0.5,2.0047112499789845,0.7451752626722814,2.3131700825626695,1.2255122759895363,0.14526045355229114,0.045479037697016764,42.46666666666667,73.78334235581498,0.9172222222222222,0.22425027639297215,30
noisy_delay,1,1,0.6,2.2788733167739084,1.3163384203113335,2.720725992985489,1.8226813638626793,0.13642708107571735,0.0424963342141255,32.43333333333333,52.5243348089858,0.9766666666666667,0.07903149379515899,30
noisy_delay,1,1,0.7,2.439656693295141,1.5124297296729368,2.9606920364669294,2.2963968833561887,0.15381073538852025,0.04381614074717126,44.46666666666667,62.094329428108296,0.9744444444444444,0.07537560269398502,30
noisy_delay,1,1,0.8,2.050927352900663,1.1788083169662449,2.293318323174212,1.5976186329937014,0.13137783827715774,0.04426124914166918,19.3,14.579508529628743,0.9665555555555555,0.09165353441286578,30
noisy_delay,1,1,0.9,2.001296221690333,1.0653419403594606,2.2748965800729004,1.3458175035365907,0.1394931684151322,0.05391194521566826,38.6,61.638881593827854,0.9461111111111111,0.1947216961531145,30
noisy_delay,1,1,1.0,2.030664849699839,0.8543663778714014,2.4371113400262536,1.3094822749753565,0.126012289659932,0.028784432312806366,42.3,74.184369577797,0.9697777777777777,0.07800153910129684,30
noisy_delay,1,3,0.0,2.4536997107415868,1.5538528125463082,2.6168424687259186,1.8014608026517527,0.14817644782875608,0.04784776068199167,37.63333333333333,54.97365095071068,0.9612222222222222,0.13463013995732814,30
noisy_delay,1,3,0.1,2.1017536008867106,0.9568190820807227,2.539739871886304,1.3674770411267847,0.14002708062795718,0.03906851998667459,38.46666666666667,58.100230478107356,0.9613333333333334,0.10269024956792072,30
