hft_frac,info_lag,speed_mult,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,run,grid
0.0,0,1,2.0027834931875237,1.9556298526979583,0.14835164835164835,34,0.25666666666666665,0,delay
0.0,0,1,1.2196295960116894,1.064670088991981,0.10101010101010101,4,1.0,1,delay
0.0,0,1,5.18751206525049,4.083042597942703,0.21552511415525108,15,1.0,2,delay
0.0,0,1,3.357530103946996,3.6079012699267716,0.15560165975103735,15,1.0,3,delay
0.0,0,1,1.959099177736425,2.6427651146646243,0.13744075829383887,50,0.9233333333333333,4,delay
0.0,0,1,3.4595622703509443,3.202990115320989,0.2031746031746032,52,1.0,5,delay
0.0,0,1,2.23361466671819,1.8857183227105494,0.14705882352941177,15,1.0,6,delay
0.0,0,1,1.3205565143374731,1.1327272584330157,0.07942973523421586,2,1.0,7,delay
0.0,0,1,1.160200361980454,1.407185692804954,0.13083164300202832,10,1.0,8,delay
0.0,0,1,3.6577075418478127,2.9931751974461855,0.23577981651376148,4,1.0,9,delay
0.0,0,1,2.245297314077589,1.7617320898343594,0.11784140969163,5,1.0,10,delay
0.0,0,1,1.7492540701579542,1.6740300852658334,0.09815950920245393,20,1.0,11,delay
0.0,0,1,3.698891502839101,4.513661470740509,0.30992978936810434,89,1.0,12,delay
0.0,0,1,3.4231804504135273,3.4317798383257156,0.28597285067873296,16,1.0,13,delay
0.0,0,1,1.4168195339518754,1.65652298423781,0.21514629948364888,18,1.0,14,delay
0.0,0,1,0.8867813858740747,0.7860217971187639,0.13559322033898297,57,1.0,15,delay
0.0,0,1,2.067015108917599,1.5026866292122172,0.22679425837320577,12,1.0,16,delay
0.0,0,1,1.6326223110393194,1.7928732203794029,0.17919075144508664,9,1.0,17,delay
0.0,0,1,1.2323085019978242,1.0213253616575741,0.23156801661474558,19,1.0,18,delay
0.0,0,1,1.7827462006103376,1.8329719959951118,0.16074950690335316,28,1.0,19,delay
0.0,0,1,3.144956023712608,2.673803695670891,0.25211505922165817,14,1.0,20,delay
0.0,0,1,5.991156743338253,6.401625014145355,0.11770334928229663,112,1.0,21,delay
0.0,0,1,1.4279503905340445,1.627757455189349,0.10932798395185563,8,1.0,22,delay
0.0,0,1,1.2592837175362563,1.2519165854032188,0.10019455252918286,22,1.0,23,delay
0.0,0,1,2.6066485567352893,2.2294559647473555,0.16635859519408502,5,1.0,24,delay
