fast_share,front_running,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio,equity_gap
0.0,True,0,1.3289743257571027,1.4371296042571808,0.111984282907662,1.0,0.0
0.0,True,1,2.4163029481345815,1.8726855872958232,0.10416666666666667,0.9766666666666667,0.0
0.0,True,2,1.5815835625006225,1.7160667466700221,0.10076775431861804,0.9066666666666666,0.0
0.0,True,3,1.3930267226827588,1.1738585157945998,0.08837209302325581,1.0,0.0
0.0,True,4,1.3381402701056744,1.3549380177372259,0.098330241187384,1.0,0.0
0.0,True,5,1.6407207181107983,2.1399103686404364,0.1038696537678208,0.9733333333333334,0.0
0.0,True,6,1.8390846980403002,2.386093134152272,0.10425101214574896,0.28,0.0
0.0,True,7,2.278579777646102,2.191339960094896,0.10180780209324443,0.91,0.0
0.0,True,8,1.24718166308405,1.5622608322828662,0.12931798051372903,1.0,0.0
0.0,True,9,1.6720611953886462,1.6750864554985059,0.09800190294957181,1.0,0.0
0.0,True,10,3.065190178920265,3.599858668988512,0.10982048574445623,0.89,0.0
0.0,True,11,1.5755474920079555,1.7989973298028203,0.10000000000000006,0.9833333333333333,0.0
0.0,True,12,1.4847788455404212,2.706014720099484,0.12334352701325173,0.9566666666666667,0.0
0.0,True,13,1.8029475003004019,2.1712005647382036,0.18459915611814345,0.9966666666666667,0.0
0.0,True,14,2.714833254129733,3.7584766769386757,0.11434511434511434,1.0,0.0
0.0,True,15,1.07004571699902,1.0281384130833615,0.09936189608021882,1.0,0.0
0.0,True,16,1.963013001952002,2.0855249079885447,0.10943775100401598,0.7466666666666667,0.0
0.0,True,17,1.222427500690517,1.2620248299785313,0.10194174757281553,1.0,0.0
0.0,True,18,1.6830811133270565,2.0807821509046525,0.10212335692618815,0.8,0.0
0.0,True,19,2.0607696629984127,2.4644578586645753,0.09158186864014793,1.0,0.0
0.0,True,20,1.6308248315423828,1.7900219565223978,0.09138110072689509,0.8033333333333333,0.0
0.0,True,21,2.22132015864236,2.463652688134875,0.10410697230181476,1.0,0.0
0.0,True,22,1.48621610668147,1.3609888681476388,0.09199632014719411,1.0,0.0
0.0,True,23,1.4620716950856691,1.305429293753679,0.10673575129533676,1.0,0.0
0.0,True,24,0.9628236871395675,1.108267164021237,0.10245901639344263,1.0,0.0
0.0,True,25,1.7195190205014912,2.1157753681814233,0.12148594377510036,0.99,0.0
0.0,True,26,1.176091960193181,1.1139491413220857,0.09799999999999998,1.0,0.0
0.0,True,27,2.399291382614447,3.479706052370795,0.11310190369540868,0.9566666666666667,0.0
0.0,True,28,2.9495856166401446,3.0661320970578605,0.1152647975077881,0.7666666666666667,0.0
0.0,True,29,1.9582776303377005,1.8306373326696213,0.1348205625606207,0.9466666666666667,0.0
0.1,True,0,1.4580031729877097,1.5600013980975893,0.12118126272912429,0.0,0.7076159639531265
0.1,True,1,1.4186555838912571,1.900609277598817,0.12009512485136736,0.0,0.25652153967388414
0.1,True,2,1.3482053228653825,1.9202345313639992,0.09501411100658509,0.49333333333333335,0.40667529045990114
0.1,True,3,1.6836023390407229,2.155919223194276,0.09324452901998095,0.0,0.2051448981463777
0.1,True,4,0.9444060878555218,1.1819724348281286,0.10550887021475255,0.0,0.0982528441170242
0.1,True,5,1.163704769569851,1.4603708190450242,0.09577464788732397,1.0,3.7842473228298212
0.1,True,6,1.355216373310972,1.6362926160800406,0.11068702290076331,0.7166666666666667,2.594490882120733
0.1,True,7,1.0936967490991805,1.6490242966924071,0.11716341212744082,0.0,3.3903529736930365
0.1,True,8,1.6024318372886976,1.9908742264953663,0.1065662002152853,0.0,-0.21563655126352846
