hft_frac,lag,run,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio
0.0,0,0,2.176027058658439,1.6309453047769684,0.24480151228733452,4,1.0
0.0,0,1,1.696940538782849,2.059834521305714,0.14857744994731303,128,1.0
0.0,0,2,1.8703183428350136,1.8341676369982935,0.11442786069651742,36,1.0
0.0,0,3,1.152090531590511,1.2663825500890369,0.1063394683026584,4,1.0
0.0,0,4,1.4792498722654461,1.6170709852493104,0.2178770949720671,300,1.0
0.0,0,5,1.294393019348722,1.3785505321067544,0.10721649484536089,26,0.8433333333333334
0.0,0,6,1.919248503695092,2.5271878058739876,0.15562565720294425,98,1.0
0.0,0,7,1.5173145181504843,1.6279042502406944,0.1699410609037328,15,1.0
0.0,0,8,3.2025113265340233,3.5713733740394282,0.21633752244165178,9,1.0
0.0,0,9,2.1328316836890693,2.4550628157323335,0.10828729281767953,11,0.97
0.0,0,10,2.193058956285761,1.9525295858303087,0.11302475780409041,13,0.9666666666666667
0.0,0,11,1.8360422131850578,1.6915226245165929,0.1491525423728814,6,1.0
0.0,0,12,2.5243241883290053,4.7410715284326725,0.12485811577752555,8,1.0
0.0,0,13,0.8554653551533319,0.7545649789132498,0.10325047801147226,19,1.0
0.0,0,14,1.2425392520874643,1.147746566393673,0.12751004016064246,30,1.0
0.0,0,15,3.661642767482708,3.5803115522908526,0.224450811843362,53,0.89
0.0,0,16,1.2276694984593743,1.3049725482449146,0.10110294117647059,96,0.9733333333333334
0.0,0,17,2.8827250273638207,2.9377545655720896,0.21504339440694306,9,1.0
0.0,0,18,1.8448465546688848,2.1748405408030784,0.12424849699398789,19,1.0
0.0,0,19,2.2360852562144906,2.3991403394105464,0.22764227642276427,27,1.0
0.0,0,20,0.7007286812817602,0.742574109636184,0.1483870967741935,1,1.0
0.0,0,21,1.5706922676525097,1.577576054093861,0.17664670658682638,18,1.0
0.0,0,22,1.2077888015610276,1.0907053547312213,0.10772163965681612,11,1.0
0.0,0,23,0.9232145199904616,0.7910915448785703,0.14616755793226385,16,1.0
