regime,hft_frac,baseline_mean,treatment_mean,u_stat,p_value,significant_0_05
calendar,0.1,2.1247612171505437,1.963943650655925,398.0,0.7811793324758771,False
calendar,0.2,2.1247612171505437,1.8886259565497587,374.0,0.8709742524568819,False
calendar,0.3,2.1247612171505437,2.2357892571857265,477.0,0.34760769953345494,False
calendar,0.4,2.1247612171505437,2.5633265605649265,526.0,0.13216310639839268,False
calendar,0.5,2.1247612171505437,2.0564461659756157,460.0,0.44415142107669436,False
calendar,0.6,2.1247612171505437,2.4005949170107823,460.0,0.44415142107669436,False
calendar,0.7,2.1247612171505437,2.9846597107164987,548.0,0.07472435311523158,False
calendar,0.8,2.1247612171505437,2.7962403189281226,578.0,0.0297139575844762,True
calendar,0.9,2.1247612171505437,3.134076596768131,534.0,0.10850841227431085,False
calendar,1.0,2.1247612171505437,2.837014746717346,609.0,0.00955619837991427,True
event_time_V100,0.1,1.3865868067199045,1.4785405785605228,484.0,0.31020186031387625,False
event_time_V100,0.2,1.3865868067199045,1.5445876091245303,503.0,0.21882066752412288,False
event_time_V100,0.3,1.3865868067199045,1.6280870297329346,516.0,0.16642734578636414,False
event_time_V100,0.4,1.3865868067199045,1.4410347230319829,468.0,0.3979227712332275,False
event_time_V100,0.5,1.3865868067199045,1.5955553938012583,471.0,0.3809141729677374,False
event_time_V100,0.6,1.3865868067199045,1.4862496792792679,403.0,0.7587415478177496,False
event_time_V100,0.7,1.3865868067199045,1.333025374347202,354.0,0.9231663822574551,False
event_time_V100,0.8,1.3865868067199045,0.7464558310766644,212.0,0.9997891635807006,False
event_time_V100,0.9,1.3865868067199045,0.6680766914340878,162.0,0.999990018612305,False
event_time_V100,1.0,1.3865868067199045,0.2916511239044045,72.0,0.9999999890312252,False
event_time_V25,0.1,1.6190366168492638,1.686124672513399,499.0,0.23667327862922477,False
event_time_V25,0.2,1.6190366168492638,1.9974005013995244,589.0,0.02029750026834632,True
event_time_V25,0.3,1.6190366168492638,1.9724424281333295,506.0,0.2059554185737998,False
event_time_V25,0.4,1.6190366168492638,1.9391157859194508,544.0,0.08343308523162984,False
event_time_V25,0.5,1.6190366168492638,2.521640866949751,663.0,0.0008398777580980169,True
event_time_V25,0.6,1.6190366168492638,2.2801016541385484,647.0,0.0018354466962253264,True
event_time_V25,0.7,1.6190366168492638,2.5561008764733213,680.0,0.00034562584629226284,True
event_time_V25,0.8,1.6190366168492638,2.2417146660497265,575.0,0.03283562884456329,True
event_time_V25,0.9,1.6190366168492638,2.895686794694435,598.0,0.014602704784222504,True
event_time_V25,1.0,1.6190366168492638,3.1528777862428172,660.0,0.0009763383369652712,True
event_time_V50,0.1,1.6028817571253866,1.5300943965118337,431.0,0.6134400287662385,False
event_time_V50,0.2,1.6028817571253866,1.7255067861098428,445.0,0.5324040148803304,False
event_time_V50,0.3,1.6028817571253866,2.055427032885698,562.0,0.04962880411991284,True
event_time_V50,0.4,1.6028817571253866,1.7534861908577226,465.0,0.41512764195559815,False
event_time_V50,0.5,1.6028817571253866,1.888893763619514,494.0,0.2600723060808019,False
event_time_V50,0.6,1.6028817571253866,1.624691550212779,432.0,0.6077701155252268,False
event_time_V50,0.7,1.6028817571253866,2.339712487531918,539.0,0.09536516673578388,False
event_time_V50,0.8,1.6028817571253866,1.7510847329814732,479.0,0.3367475264008015,False
event_time_V50,0.9,1.6028817571253866,1.627646715347821,419.0,0.679288238739834,False
event_time_V50,1.0,1.6028817571253866,1.0554317335731835,235.0,0.9992788358984023,False
