hft_frac,run,diff_vol_ratio,diff_spread_ratio,diff_max_drawdown,diff_recovery_time,diff_mm_panic_ratio,diff_total_executed_volume,diff_post_volume,diff_volume_per_tick,diff_realized_vol_per_volume,diff_n_ticks
0.0,0,1.0176122392963776,0.5698849770934353,0.11847462777271342,-31.0,0.0,5.0,-10.0,0.5692327044025163,0.0001572025991550886,-23.0
0.0,1,-3.627640666495735,-5.149806980453596,-0.08539398064125826,-9.0,0.0,18.0,-10.0,-1.5921466905187849,-0.000380099448301636,59.0
0.0,2,0.5920720264570498,0.4185252613279786,0.003247287959614681,-8.0,0.0,10.0,-17.0,0.24945417515275103,5.520284125654917e-05,-9.0
0.0,3,-0.4896751120807403,-0.41358203353906475,0.013527575442247614,62.0,0.0,9.0,-20.0,-0.3552062256809325,-9.138979108384057e-05,14.0
0.0,4,0.35626053281852044,0.22524701720288642,0.013514922041932664,-14.0,0.0,6.0,-11.0,0.05697188755020122,5.544741446716499e-05,-2.0
0.0,5,0.32240528531732027,0.21537402174272602,0.007379396904064778,2.0,0.0,7.0,-16.0,0.6626778242677815,5.13932982282425e-06,-22.0
0.0,6,-0.16071126757464937,0.0567655466650101,-0.04153457044458603,-97.0,0.0,5.0,-17.0,-0.7606542056074765,-2.8541274749947223e-05,35.0
0.0,7,-0.2858729447965884,-0.31969249177725656,-0.0057687074829931295,4.0,0.0,4.0,-28.0,-0.19291518737672675,-0.00010970260813761827,7.0
0.0,8,0.24678908206019412,0.08891339575289203,-0.03976693056262165,6.0,0.0,12.0,-19.0,0.22956097560975586,2.4862615668169285e-05,-8.0
0.0,9,-0.8052308023400103,-0.27760170348649327,-0.039893888378736836,32.0,0.0,0.0,-30.0,0.5225000000000009,-0.00015276973143198418,-20.0
0.0,10,-0.7201417066240638,-0.8563031970124846,0.07794349506064188,46.0,0.0,8.0,-18.0,-1.4358855098389984,-3.238399174625438e-05,59.0
0.0,11,0.22030886641932357,0.22691095835016295,0.002301450986029824,0.0,0.0,2.0,-41.0,0.7233389830508479,2.158588216415831e-06,-28.0
0.0,12,0.2159764629432479,0.25270098860880563,0.007494615267786803,8.0,0.0,3.0,-15.0,0.23992668024439823,4.880275142745162e-05,-9.0
0.0,13,0.30576212044982076,0.33825733526652035,-0.031998790420288845,-26.0,0.0,19.0,5.0,0.671544303797468,9.085755758535767e-05,-26.0
0.0,14,-0.17301335512595384,0.0663091758579204,-0.011558906202166375,-9.0,0.0,17.0,-25.0,0.7129620253164557,1.991101485615559e-05,-26.0
0.0,15,1.7068358134734924,0.6142441375459828,0.007729418139325428,-259.0,0.0,2.0,-35.0,0.6241422594142261,0.00016819454953481808,-22.0
0.0,16,0.04833062536389954,0.15096620287928553,0.02179082264133614,1.0,0.0,18.0,-5.0,-0.14591715976331443,4.046680691707549e-05,7.0
0.0,17,-0.06794524935829394,-0.16077905730482067,-0.004820478723404201,-10.0,0.0,2.0,-24.0,0.14697975708502042,-5.049992938656103e-05,-6.0
0.0,18,0.023055106446544515,0.0002303178116103144,-0.03203784488130987,-2.0,0.0,8.0,-25.0,0.14296969696969697,-5.320323390979251e-05,-5.0
0.0,19,0.3016099772647569,0.7271151047909399,-0.005944408769837581,-5.0,0.0,5.0,-26.0,-0.7371878557874769,3.9202762553512856e-05,27.0
0.0,20,-1.164212229247828,-0.7784885853835043,-0.02256430382492204,0.0,0.0,22.0,-23.0,-1.1398294010889298,-0.00031827744432775715,51.0
0.0,21,-1.5762798601422734,-0.8470699017861787,-0.048696855613731216,0.0,0.0,9.0,-16.0,-0.08658730158730243,-0.0002981454522055902,4.0
0.0,22,0.11790055350182937,0.5176164505088978,-0.04881673902349329,-190.0,0.0,5.0,-15.0,0.3548336755646826,3.6589802875308295e-05,-13.0
0.0,23,0.5638747313059524,0.5381932373470233,0.018538069024457718,0.0,0.0,0.0,-19.0,0.9474827586206906,0.00020314647967560872,-36.0
