hft_frac,metric,n_obs,n_runs,b1_delay,b2_thin_book,b3_interaction,se_hc3,t_hc3,p_value,significant_5pct,ci_low,ci_high,interaction_positive
0.2,recovery_time,800,200,-13.225000000003824,-35.22499999999977,24.740000000001793,10.391545533766942,2.380781561280762,0.017275952895461057,True,4.372570753818586,45.107429246185,True
0.2,max_drawdown,800,200,0.007430716571111454,0.06383019106740204,0.021726681512392987,0.015808792578340874,1.3743416143089906,0.16933565282178914,False,-0.009258551941155126,0.052711914965941103,True
0.2,stabilization_gap,800,200,-0.0024176724643259597,-0.01085535077810962,-0.03200718206941965,0.018445332950614433,-1.7352455580561077,0.08269732018974195,False,-0.06816003465262394,0.004145670513784637,False
0.4,recovery_time,800,200,-2.260000000000108,-20.675000000001056,16.89000000000009,10.628693825175676,1.5890946035150209,0.1120390359641474,False,-3.9422398973442334,37.72223989734441,True
0.4,max_drawdown,800,200,0.010722657553271356,0.11124786614391208,0.03474057647845537,0.02222771399427317,1.5629396926470287,0.1180667803933259,False,-0.008825742950320042,0.07830689590723078,True
0.4,stabilization_gap,800,200,-0.003004109919215547,-0.0393073600010407,0.00877559201253953,0.02747726790002644,0.3193764403531214,0.7494410739686398,False,-0.045079853071512285,0.06263103709659135,True
