hft_frac,run,interaction_recovery_time,interaction_max_drawdown,interaction_stabilization_gap
0.2,0,-25.0,0.23895972783446362,0.10656395576173569
0.2,1,131.0,0.33835152987781913,-0.3073640698751552
0.2,2,130.0,-0.1444542849445493,0.0919323043612047
0.2,3,-12.0,-0.026161867843669445,-0.13014164025574942
0.2,4,25.0,-0.01597527427134479,-0.1439293538712713
0.2,5,-10.0,-0.1407620504562092,-0.4307874796312703
0.2,6,-43.0,-0.03879739641169991,0.252294097135798
0.2,7,7.0,-0.03699362785202412,-0.008334802075534203
0.2,8,-35.0,-0.1210857172956546,-0.4273075920998472
0.2,9,48.0,-0.016628459923471145,-0.1144964585195854
0.2,10,184.0,-0.05821040869857809,-0.10813674945955151
0.2,11,10.0,-0.05652848869299233,-0.48508438991437286
0.2,12,47.0,0.3735990001141972,0.0709816511736388
0.2,13,-29.0,-0.4102311558379022,-0.639309993662131
0.2,14,37.0,-0.12604305279374095,-0.020579062217190677
0.2,15,-42.0,-0.11981002680016907,-0.09946720877548271
0.2,16,-3.0,0.09011913353179479,0.3442405350372393
0.2,17,18.0,-0.07210023431563309,-0.11140387222557549
0.2,18,-117.0,-0.18182314509251446,-0.020516844781632
0.2,19,-35.0,0.03072020075436689,0.11221527056973551
0.2,20,-10.0,-0.0902490899107683,-0.14011863337972422
0.2,21,76.0,0.5862728384354354,0.0362080834066828
0.2,22,12.0,-0.16402628269513397,-0.1400645780853343
0.2,23,285.0,0.18672367223918018,0.2403443044642986
0.2,24,85.0,-0.10294612838039882,0.059908078701093395
0.2,25,9.0,-0.23304246863712572,-0.1947174456853152
0.2,26,299.0,-0.07538535203067027,-0.24731533750144274
0.2,27,0.0,0.05646758792511851,-0.04282532865887758
0.2,28,43.0,-0.3137546463685249,0.15232198151569581
0.2,29,-86.0,0.10405064765526365,-0.07816562025836529
0.2,30,144.0,0.39463749765780975,0.1928352988156383
0.2,31,1.0,0.08859696409649653,-0.16838909189532278
0.2,32,3.0,-0.183715649443226,0.0896685222996948
0.2,33,102.0,0.10091060364577442,0.41846617330238267
0.2,34,203.0,-0.007617352496547769,-0.3226014114188259
0.2,35,267.0,0.04001105012762468,0.1959617928610933
0.2,36,-6.0,-0.10247957728643597,0.06977345219680461
0.2,37,-25.0,0.09745860349340887,-0.07623737283879829
0.2,38,-8.0,-0.11497293941372758,0.0969807312309097
0.2,39,-284.0,-0.4533377966311603,-1.0312173767772261
0.2,40,-34.0,-0.15275944318294352,0.03423697623790849
0.2,41,-246.0,-0.1181593903083279,0.034426503313447314
0.2,42,258.0,-0.19563159060580057,0.2276394502987953
0.2,43,-226.0,-0.18099522186466782,-0.21742385322538688
0.2,44,-22.0,-0.32882210723721383,-0.4979346803911684
0.2,45,31.0,0.1513640595890271,-0.1642620351370792
0.2,46,-21.0,0.10952070737007985,0.42937949488986416
0.2,47,-24.0,-0.15394553212984763,0.23661543610514016
0.2,48,267.0,0.2546495866140922,0.2938526818982754
0.2,49,20.0,-0.13404712508453467,0.4474679137875848
0.2,50,19.0,-0.08085435091188878,-0.03587180487865729
0.2,51,63.0,0.0827991070879268,-0.1451721990527704
0.2,52,-51.0,0.1916779002025958,0.39056151563425784
0.2,53,-43.0,-0.1524698656086229,0.07607560139499903
0.2,54,103.0,0.14273559426547447,-0.005664564954738965
0.2,55,-232.0,-0.17971449236072715,-0.09533482602249449
0.2,56,-16.0,-0.1817581756615229,0.09680497545847438
0.2,57,-15.0,-0.09508785430927222,-0.0705467155502838
0.2,58,57.0,-0.44208471835237717,-0.30452895925255186
0.2,59,-44.0,0.20064840439884302,-0.1949451031607813
0.2,60,174.0,0.015878337447088997,-0.6561198530536204
0.2,61,32.0,0.04937856119726711,0.10256649298875889
0.2,62,14.0,0.153126550688575,-0.021828531427135908
0.2,63,5.0,0.2983489429955185,0.050879756627153716
0.2,64,78.0,0.5503398423044588,0.2198013860488967
0.2,65,20.0,-0.046048228142785946,0.1951401638243092
0.2,66,85.0,0.2921762817201202,-0.3972757602638678
0.2,67,10.0,0.19455822788197752,-0.10871062219664399
0.2,68,171.0,0.32189774399778437,-0.2532695066501368
0.2,69,-34.0,-0.006336230141777394,0.068920573916339
0.2,70,27.0,0.3305206981394815,-0.0824399898596641
0.2,71,57.0,0.25050430513905736,0.1432001175387801
0.2,72,-7.0,0.1930279206840136,-0.10826850594613699
0.2,73,88.0,-0.03006291192157301,0.2303833418681605
0.2,74,341.0,-0.03951847059648779,0.10277622473229499
0.2,75,-33.0,0.3243279099597224,0.1073576821535506
0.2,76,297.0,-0.1354736111440382,0.1129826694240799
0.2,77,-229.0,-0.004027681892781909,-0.16596332759294088
0.2,78,-103.0,-0.1738284145780679,0.0561764176879917
0.2,79,0.0,-0.19539780416260183,0.19614963959911308
0.2,80,-33.0,0.017413680446150007,-0.43664099526573386
0.2,81,-245.0,0.0471638588375486,-0.1398739896268475
0.2,82,272.0,-0.3286920893584713,-0.49135386631052874
0.2,83,-71.0,-0.016617242211715982,-0.009973439773899702
0.2,84,-2.0,-0.011411480478047603,-0.3398365936983079
0.2,85,-60.0,0.08010119743516092,0.022990756585695882
0.2,86,1.0,-0.04136529904727433,0.1067326583841699
0.2,87,-53.0,-0.2419317628839312,-0.08070503722554759
