fast_share,softlimit,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.0,5,0,0.9853895362999516,1.0056536450111448,0.0907278165503489,1.0
0.0,5,1,1.3396605903044092,1.4606124667036142,0.1179435483870968,1.0
0.0,5,2,0.9394205894954025,0.9556601383133642,0.1373976342129209,1.0
0.0,5,3,1.0747656500160354,0.9348776981289643,0.10535876475930968,1.0
0.0,5,4,1.0556535739181252,1.1102184670696296,0.16283924843423794,1.0
0.0,5,5,0.8869997378178389,1.0813842080085863,0.0949367088607595,1.0
0.0,5,6,1.2274836487470757,1.2948035736043793,0.11513463324048287,1.0
0.0,5,7,1.1351182561463806,1.2578263843804032,0.10548523206751055,1.0
0.0,5,8,1.2003113228260227,1.2681410348398328,0.10438413361169102,1.0
0.0,5,9,0.9766176761128347,1.1458023797892962,0.15577342047930282,1.0
0.0,5,10,0.9677558012422732,1.09745439292761,0.10749185667752434,1.0
0.0,5,11,1.2513909187882377,1.1706299537742788,0.121505376344086,1.0
0.0,5,12,1.08045570484076,1.225573766622336,0.11904761904761904,1.0
0.0,5,13,0.8883921465050035,0.8297126864977631,0.10435663627152986,1.0
0.0,5,14,1.5254561726466358,1.7426931700850108,0.10914760914760914,1.0
0.0,5,15,0.9299933001302356,1.1725688386557407,0.1653846153846154,1.0
0.0,5,16,1.0801493613122244,1.2384970706155907,0.113882863340564,1.0
0.0,5,17,1.389667400324258,1.1277571355582126,0.12488605287146766,1.0
0.0,5,18,1.266553920922808,0.9231862918822777,0.1385767790262172,1.0
0.0,5,19,1.2083747486591807,1.1353794325183717,0.09989594172736727,1.0
0.1,5,0,1.34169224513572,1.2003408449309403,0.19238683127572018,1.0
0.1,5,1,0.9484862212655721,1.0235529518770972,0.10279441117764468,1.0
0.1,5,2,1.1195835565787993,1.034453407552042,0.08251900108577627,1.0
0.1,5,3,1.5990846920439286,1.5930888699323242,0.16032064128256512,1.0
0.1,5,4,1.1930534357671851,1.4222912272297712,0.10132158590308374,1.0
0.1,5,5,1.027873567080637,1.2646956700421503,0.21946375372393256,1.0
0.1,5,6,0.9916037301440587,1.0572586312968668,0.12751677852349,1.0
0.1,5,7,1.9812595568826132,1.8445945502028138,0.16328502415458943,1.0
0.1,5,8,1.1990638563480438,1.1820908340039182,0.08716475095785449,1.0
0.1,5,9,1.3273857108444194,1.1298116373479932,0.1010416666666667,1.0
0.1,5,10,1.3180238554280612,1.4366635856751213,0.11902339776195324,1.0
0.1,5,11,1.0065033167720603,0.8065058851729944,0.11122448979591842,1.0
0.1,5,12,1.02394230277149,1.0915089280744577,0.10612244897959189,1.0
0.1,5,13,1.5077529932511173,1.1401917771118835,0.11934552454282969,1.0
0.1,5,14,1.064158244916487,1.3182978019076608,0.11501901140684419,1.0
0.1,5,15,1.1715329308839313,1.2307856124592618,0.12153110047846892,1.0
0.1,5,16,1.3916298869625905,1.4507690456300466,0.1161087866108786,1.0
0.1,5,17,1.1414101197125284,1.123340223313973,0.1183246073298429,1.0
0.1,5,18,1.094729099232487,1.1930557032199842,0.12453183520599248,1.0
0.1,5,19,1.5493527419884867,1.7007125937676395,0.10992529348986123,1.0
0.2,5,0,0.8496395188847046,1.219456296342594,0.1395121951219512,1.0
0.2,5,1,1.4940161234492249,1.2158043983467917,0.10308285163776497,1.0
0.2,5,2,1.254608275045487,1.3675764912659059,0.1183246073298429,1.0
0.2,5,3,1.0947857304451356,1.184355934554678,0.10268270120259014,1.0
0.2,5,4,0.9549674891026273,1.0163830694005376,0.10224948875255624,1.0
0.2,5,5,1.3318705666009563,1.4157763848313336,0.10757717492984097,1.0
0.2,5,6,1.4985307119849745,1.3931091761506313,0.11630321910695746,1.0
0.2,5,7,1.06129278090699,1.0358390906662904,0.11146496815286625,1.0
0.2,5,8,1.1130415257598865,1.2181021178828355,0.12223393045310862,1.0
0.2,5,9,1.1083037211250173,1.2198446861537546,0.08683206106870224,1.0
0.2,5,10,0.9810843105515896,0.8916850665953024,0.10224948875255624,1.0
0.2,5,11,0.8713466217203337,1.0368964410641126,0.11791383219954654,1.0
0.2,5,12,1.1752629897329747,1.1261180520225842,0.09189189189189191,1.0
0.2,5,13,1.0275334545619854,1.3483024774544783,0.11672278338944997,1.0
