hft_frac,metric,n_obs,n_runs,coef_delay_x_thin,se_hc3,t_hc3,p_normal_approx,ci_low,ci_high,positive,ci_excludes_zero
0.2,acf_abs_ret_1,800,200,0.004148870042606639,0.01888720085554946,0.2196656918268338,0.8261315259919506,-0.032870043634270305,0.04116778371948358,True,False
0.2,acf_abs_ret_5,800,200,0.0301002445757117,0.01751661744412937,1.7183822545487903,0.08572691494739734,-0.004232325614781866,0.06443281476620527,True,False
0.2,high_vol_cluster_share,800,200,-0.08217391304348987,0.042028016842104034,-1.955217476765816,0.05055740662070036,-0.16454882605401377,0.00020099996703404344,False,False
0.2,vol_ratio,800,200,-0.5247841938688438,0.24659170106071088,-2.1281502646337715,0.03332462692860905,-1.008103927947837,-0.04146445978985047,False,True
0.2,vol_persistence,800,200,0.0013267153962676081,0.0020941202925356434,0.6335430686558932,0.5263790651192988,-0.002777760377102253,0.005431191169637469,True,False
0.4,acf_abs_ret_1,800,200,0.011590369581793797,0.017992083871321476,0.6441927274621198,0.5194504662487179,-0.023674114805996294,0.04685485396958389,True,False
0.4,acf_abs_ret_5,800,200,-0.027477506937366086,0.01660049883399216,-1.6552217624389411,0.09787952234238365,-0.06001448465199072,0.005059470777258546,False,False
0.4,high_vol_cluster_share,800,200,0.011889632107015435,0.04299026238126763,0.27656570228787825,0.7821136033682277,-0.07237128216026911,0.09615054637429998,True,False
0.4,vol_ratio,800,200,-0.14800301427612106,0.2776285473963142,-0.5330972468938759,0.593966264756518,-0.6921549671728969,0.3961489386206548,False,False
0.4,vol_persistence,800,200,0.0032406994738052863,0.005941295204088258,0.5454533670663818,0.585441744825909,-0.008404239126207698,0.01488563807381827,True,False
