hft_frac,metric,baseline,delay_only,thin_book_only,combined,interaction
0.2,acf_abs_ret_1,0.30038511288876624,0.4257615051912389,0.32312554985816744,0.4526508122032663,0.004148870042626207
0.2,acf_abs_ret_5,0.1728712535883203,0.18228604406069088,0.15791249139935915,0.19742752644744435,0.03010024457571464
0.2,high_vol_cluster_share,0.43339464882943146,0.518695652173913,0.40302675585284287,0.40615384615384614,-0.08217391304347832
0.2,vol_ratio,2.2783381372928933,2.6789764594795185,2.552619739298187,2.428473867616035,-0.5247841938687774
0.2,vol_persistence,0.9618562321957009,0.9665067426781297,0.9609338115531565,0.9669110374318626,0.001326715396277267
0.4,acf_abs_ret_1,0.28770757444878897,0.37267530780857805,0.30712372562866985,0.40368182857026697,0.011590369581808035
0.4,acf_abs_ret_5,0.15785545679786034,0.182518598286023,0.17274364422984154,0.16992927878064276,-0.027477506937361423
0.4,high_vol_cluster_share,0.48595317725752507,0.5433444816053512,0.3674916387959866,0.4367725752508361,0.011889632107023373
0.4,vol_ratio,2.7248451802179714,3.005713663816239,2.5316109353356246,2.66447640465782,-0.148003014276072
0.4,vol_persistence,0.9611325792896843,0.9650029264866782,0.9567290340725816,0.9638400807433904,0.003240699473815001
