hft_frac,info_lag,speed_mult,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,run,grid
0.0,0,1,2.42485900788328,2.5228756757149955,0.09980430528375736,7,1.0,0,noisy_delay
0.0,0,1,1.8046487100032036,1.3851571259943551,0.14226804123711337,20,1.0,1,noisy_delay
0.0,0,1,1.1545164876691965,1.7352626601576502,0.12540540540540535,3,1.0,2,noisy_delay
0.0,0,1,0.6785346917433503,1.0911093991289713,0.1291322314049587,10,1.0,3,noisy_delay
0.0,0,1,2.079099024003452,2.4699970512423537,0.2925101214574898,5,1.0,4,noisy_delay
0.0,0,1,1.1971549745581755,1.4496810344057065,0.22200000000000003,59,1.0,5,noisy_delay
0.0,0,1,2.2274824337471504,2.8622672600333527,0.10582524271844666,11,0.9866666666666667,6,noisy_delay
0.0,0,1,2.0743400570256822,1.9027822769182416,0.1265536723163842,2,1.0,7,noisy_delay
0.0,0,1,3.9301299855780107,5.09442625637083,0.24773413897280963,59,1.0,8,noisy_delay
0.0,0,1,0.8473531515338077,0.7929102732664758,0.07880724174653893,11,1.0,9,noisy_delay
0.0,0,1,3.2770732303876295,3.0204796777912764,0.24438202247191007,55,0.9466666666666667,10,noisy_delay
0.0,0,1,0.9595316480706133,1.4246976865112233,0.16780487804878053,34,1.0,11,noisy_delay
0.0,0,1,2.1679429024084054,2.4749318192930434,0.12680412371134017,8,1.0,12,noisy_delay
0.0,0,1,1.2460786890339892,1.4487491553281637,0.13636363636363633,7,1.0,13,noisy_delay
0.0,0,1,2.3811034668964353,2.8063257355402405,0.20527306967984932,49,1.0,14,noisy_delay
0.0,0,1,2.113521005148073,2.149510476081345,0.20979765708200215,30,1.0,15,noisy_delay
0.0,0,1,1.2249591132917068,1.2694227001384364,0.12290008841732973,22,1.0,16,noisy_delay
0.0,0,1,2.390775130559756,2.538328124393819,0.16636528028933084,17,1.0,17,noisy_delay
0.0,0,1,1.2511492502851547,1.232647492726716,0.1016260162601626,15,1.0,18,noisy_delay
0.0,0,1,2.3041669538428624,2.3896003198466125,0.20876826722338204,39,1.0,19,noisy_delay
0.0,0,1,1.4737482342347155,1.2864365531999276,0.10935960591133,21,0.99,20,noisy_delay
0.0,0,1,1.2072004733492234,1.0459917321681518,0.13802559414990867,169,1.0,21,noisy_delay
0.0,0,1,3.3737330156756684,7.110443802340738,0.1778741865509762,139,0.7366666666666667,22,noisy_delay
0.0,0,1,1.2800227628968834,1.0808233187446892,0.0970220941402497,15,1.0,23,noisy_delay
0.0,0,1,2.8139827999800455,2.927733289764789,0.18199419167473377,15,1.0,24,noisy_delay
0.0,0,1,3.1807294653558245,3.5886774118831046,0.24112149532710278,22,1.0,25,noisy_delay
0.0,0,1,1.6979317841831834,1.7553012840291922,0.11790780141843969,15,1.0,26,noisy_delay
0.0,0,1,1.9465843308577697,1.7997365390111801,0.17586529466791403,261,1.0,27,noisy_delay
0.0,0,1,1.4210347921009434,1.257500786262262,0.1390937829293994,17,1.0,28,noisy_delay
0.0,0,1,1.7919550408501472,2.1368094940021867,0.11433926897844426,30,1.0,29,noisy_delay
0.1,0,1,4.354831459824815,2.7746430875877754,0.24974721941354905,20,1.0,0,noisy_delay
0.1,0,1,0.9549213096058282,0.935645677512638,0.21355617455896006,19,1.0,1,noisy_delay
0.1,0,1,3.473582910627551,4.387612551314393,0.14255765199161433,12,1.0,2,noisy_delay
0.1,0,1,1.6164651078875452,1.775804430298323,0.10864978902953584,14,1.0,3,noisy_delay
0.1,0,1,2.0166928195176976,2.0456135381079874,0.17559863169897383,10,1.0,4,noisy_delay
0.1,0,1,1.7642355890651324,2.0016518521401734,0.15086206896551724,6,1.0,5,noisy_delay
0.1,0,1,2.8809129460992238,5.141041491625043,0.1343283582089551,18,1.0,6,noisy_delay
0.1,0,1,1.2040819702372922,1.3754160050677837,0.17226890756302526,9,1.0,7,noisy_delay
0.1,0,1,1.025276476043999,0.8131298344675942,0.09973285841495996,14,1.0,8,noisy_delay
0.1,0,1,0.9085029561799742,0.9624352197142311,0.19642857142857145,216,1.0,9,noisy_delay
0.1,0,1,3.628555780384922,2.574794842797861,0.2667304015296366,38,1.0,10,noisy_delay
0.1,0,1,3.049021118962419,3.8265814806662313,0.10248756218905469,26,0.9,11,noisy_delay
0.1,0,1,2.75387852051983,3.685450577321901,0.18793969849246234,7,0.93,12,noisy_delay
0.1,0,1,1.5625703324413271,1.3076577381031138,0.10410697230181476,75,1.0,13,noisy_delay
0.1,0,1,2.8478577212809313,2.880783791366245,0.22385321100917435,47,1.0,14,noisy_delay
0.1,0,1,1.4564471029035213,1.141963964170093,0.050880626223092,4,1.0,15,noisy_delay
0.1,0,1,0.8881751428269453,0.843868316093542,0.16129032258064516,15,1.0,16,noisy_delay
0.1,0,1,3.345766605737679,3.4941592196613205,0.173773987206823,20,1.0,17,noisy_delay
0.1,0,1,1.7073150539475872,1.7985597721572273,0.11685823754789273,19,0.9533333333333334,18,noisy_delay
0.1,0,1,1.7407614581491673,1.8017928065770763,0.15064420218037664,11,1.0,19,noisy_delay
0.1,0,1,3.65834021695179,5.624143427101967,0.10368217054263569,27,0.9066666666666666,20,noisy_delay
0.1,0,1,1.4638741356573368,1.2545976171673179,0.10786290322580648,18,1.0,21,noisy_delay
0.1,0,1,1.0375149451844474,1.0806215305223257,0.12500000000000006,44,1.0,22,noisy_delay
0.1,0,1,1.2173265097983141,1.5325717959564558,0.15765765765765766,2,1.0,23,noisy_delay
0.1,0,1,2.8301116659129977,4.144672910281742,0.10351758793969847,27,0.94,24,noisy_delay
0.1,0,1,2.566851834099334,2.4046970435051387,0.2123983739837399,300,1.0,25,noisy_delay
0.1,0,1,2.174409579007297,1.8969768446301922,0.1339805825242718,38,1.0,26,noisy_delay
0.1,0,1,1.5043349079239583,1.442866770559764,0.2789620018535682,253,1.0,27,noisy_delay
0.1,0,1,2.815873219243849,3.7904377719256144,0.10818438381937912,22,1.0,28,noisy_delay
0.1,0,1,1.0192238051776163,1.045598660210218,0.14285714285714293,14,1.0,29,noisy_delay
0.2,0,1,1.5225782500227851,1.1001755541221818,0.12831389183457045,1,1.0,0,noisy_delay
0.2,0,1,2.1768425161236515,2.764981930170223,0.1955645161290323,27,1.0,1,noisy_delay
0.2,0,1,2.1787874787540735,2.663704020213495,0.14733276883996607,33,1.0,2,noisy_delay
0.2,0,1,3.2998064065416712,4.592861761810542,0.23220973782771534,49,1.0,3,noisy_delay
0.2,0,1,1.9189945079080506,1.608715811519165,0.2111984282907662,300,1.0,4,noisy_delay
0.2,0,1,1.470323342872721,1.3834060918804085,0.10106899902818275,23,1.0,5,noisy_delay
0.2,0,1,1.4498429222218747,1.5345898066952017,0.1964839710444674,11,1.0,6,noisy_delay
0.2,0,1,1.7679517062871715,1.9874730607371418,0.12437311935807428,25,1.0,7,noisy_delay
0.2,0,1,4.044370758801259,3.9722912556823737,0.1479069767441861,86,1.0,8,noisy_delay
0.2,0,1,1.9646326201137405,2.9287503099651406,0.13786008230452682,22,1.0,9,noisy_delay
0.2,0,1,1.245610240438327,1.6170136015361556,0.11358811040339706,22,0.9866666666666667,10,noisy_delay
0.2,0,1,1.1294735683157122,1.1055289417212457,0.12576687116564414,2,1.0,11,noisy_delay
0.2,0,1,2.851863100539951,2.862695725147933,0.09646609360076416,23,0.9666666666666667,12,noisy_delay
0.2,0,1,3.9161812044892144,3.064011799333483,0.10194174757281553,30,1.0,13,noisy_delay
0.2,0,1,6.824421867090591,6.789448253223628,0.3336448598130841,31,1.0,14,noisy_delay
0.2,0,1,1.5601310936936577,1.787896171036764,0.13465553235908134,18,1.0,15,noisy_delay
0.2,0,1,0.6451006333947228,0.5564626906105361,0.08944543828264759,20,1.0,16,noisy_delay
0.2,0,1,1.8756166150849654,1.700524883425668,0.08905380333951758,20,1.0,17,noisy_delay
0.2,0,1,2.3443570543892154,4.430129088214622,0.11513157894736842,13,1.0,18,noisy_delay
0.2,0,1,0.8367233177567166,1.0077560612430527,0.08754863813229573,1,1.0,19,noisy_delay
0.2,0,1,2.329328841508033,3.2515623574429173,0.12996031746031741,28,1.0,20,noisy_delay
