fast_share,lag,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.0,1,0,1.4180452102795686,1.7040556348283142,0.10174418604651163,1.0
0.0,1,1,1.6451339386514827,1.8255703330356559,0.11465603190428714,0.91
0.0,1,2,1.3218255951710587,1.3017262195404893,0.09732824427480918,1.0
0.0,1,3,1.337128818618378,1.6714513710437808,0.1143667296786389,1.0
0.0,1,4,1.1784683334744985,1.1277462586904172,0.09532710280373835,1.0
0.0,1,5,1.0752723141338079,0.8793158865946686,0.1049317943336831,1.0
0.0,1,6,1.415027901266458,1.554218770380399,0.11895161290322577,0.9933333333333333
0.0,1,7,1.2151497266106652,1.156231447968461,0.10756608933454874,1.0
0.0,1,8,1.2038792036747825,1.0075136906202533,0.09734513274336289,1.0
0.0,1,9,1.408761306584689,1.8295722118381468,0.12202380952380949,1.0
0.0,1,10,3.0837555905067875,3.274141893413865,0.10131712259371833,0.9333333333333333
0.0,1,11,1.2748806184921007,1.2515037171970578,0.12339055793991416,0.8666666666666667
0.0,1,12,1.1202631623150876,1.4169152376031404,0.10880829015544041,0.82
0.0,1,13,1.7486356107999346,2.199328623849639,0.09908069458631259,0.9833333333333333
0.0,1,14,1.8933438802727818,3.4827358996915825,0.11534276387377593,0.9733333333333334
0.0,1,15,1.3647869544214737,1.591286790355164,0.09778225806451615,1.0
0.0,1,16,1.531793967725072,1.6212438210782938,0.1226130653266332,0.89
0.0,1,17,1.7998966817579258,1.8729977083619271,0.09569377990430622,0.8266666666666667
0.0,1,18,1.6289737605280485,2.183466258147246,0.10059760956175307,0.8966666666666666
0.0,1,19,2.1016963339455597,2.1115261558654215,0.15096153846153848,0.9866666666666667
0.1,1,0,1.2556429843194974,1.619971057001362,0.1734164070612669,0.99
0.1,1,1,2.2013179523763786,2.830450393036243,0.10152284263959391,0.9666666666666667
0.1,1,2,1.2113054496306896,1.9862877666987364,0.09304812834224602,1.0
0.1,1,3,1.4647141323666575,1.5665934718857366,0.11406844106463879,0.9766666666666667
0.1,1,4,0.990927252207489,0.9767836858702843,0.08518877057115196,1.0
0.1,1,5,1.725632674057279,1.1601676910668082,0.08864265927977834,0.9733333333333334
