hft_frac,shock_dp,info_lag,speed_mult,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,run,grid
0.0,-0.5,0,2,0.5324689826840536,0.7523014551747634,0.10216718266253876,0,1.0,0,shock_magnitude
0.0,-0.5,0,2,2.100562308235058,1.777789786453511,0.10030395136778121,0,1.0,1,shock_magnitude
0.0,-0.5,0,2,2.1392191418622986,1.9523507845862984,0.044296788482835,0,1.0,2,shock_magnitude
0.0,-0.5,0,2,0.6662248012828513,0.4847728986195996,-0.01724137931034486,64,1.0,3,shock_magnitude
0.0,-0.5,0,2,0.906021313146749,1.101153933101201,0.1366742596810934,0,1.0,4,shock_magnitude
0.0,-0.5,0,2,2.240168859518657,2.3591743375837333,0.08542713567839195,0,1.0,5,shock_magnitude
0.0,-0.5,0,2,1.4848121522352744,1.512667292689662,0.038652130822596685,0,1.0,6,shock_magnitude
0.0,-0.5,0,2,2.7525533783026406,2.622094607101617,0.1371727748691099,0,1.0,7,shock_magnitude
0.0,-0.5,0,2,1.0165058041299562,1.041055207405418,0.13891834570519612,0,1.0,8,shock_magnitude
0.0,-0.5,0,2,1.4992191702835616,1.5548463648576236,0.14285714285714285,0,1.0,9,shock_magnitude
0.0,-0.5,0,2,2.827002015345468,3.219875422744677,0.10717797443461166,5,1.0,10,shock_magnitude
0.0,-0.5,0,2,1.1370484668607157,1.0601421554582378,0.09493087557603684,0,1.0,11,shock_magnitude
0.0,-0.5,0,2,2.219227240086777,2.9893198881444096,0.010504201680672268,0,0.36666666666666664,12,shock_magnitude
0.0,-0.5,0,2,1.2757053322802192,1.3114933855116766,0.09908069458631259,150,1.0,13,shock_magnitude
0.0,-0.5,0,2,1.5692346934099306,2.050678272345802,0.06069958847736631,0,1.0,14,shock_magnitude
0.0,-0.5,0,2,1.791239359789065,1.5581900219297031,0.09036742800397228,0,0.8233333333333334,15,shock_magnitude
0.0,-0.5,0,2,2.542049809912561,1.7580702977125229,0.04158607350096723,0,1.0,16,shock_magnitude
0.0,-0.5,0,2,1.9608271956267325,2.646640876356389,0.14257812500000008,0,1.0,17,shock_magnitude
0.0,-0.5,0,2,1.9530747613643296,2.0855687071275795,0.04906054279749481,0,1.0,18,shock_magnitude
0.0,-0.5,0,2,1.2380645860828754,1.4189281910632685,0.06256517205422314,0,1.0,19,shock_magnitude
0.0,-0.5,0,2,1.108049834745067,1.0646981723306597,0.042871385842472555,0,1.0,20,shock_magnitude
0.0,-0.5,0,2,1.5738349002363978,1.5025236870700132,0.024312896405919632,0,1.0,21,shock_magnitude
0.0,-0.5,0,2,2.1548244988122423,1.7598447426789172,0.12931034482758622,1,1.0,22,shock_magnitude
0.0,-0.5,0,2,0.78526498270114,0.9059668021905086,0.12233445566778892,16,1.0,23,shock_magnitude
0.0,-0.5,0,2,0.8001692026663787,0.9933101779829671,0.1422222222222222,0,1.0,24,shock_magnitude
0.0,-0.5,0,2,2.6163586128042664,2.8179820932265476,0.05238095238095238,2,1.0,25,shock_magnitude
0.0,-0.5,0,2,1.804116379339288,3.387120004919709,0.035827186512118074,0,1.0,26,shock_magnitude
0.0,-0.5,0,2,2.2881204414494376,1.8462201643766283,0.1590697674418604,0,1.0,27,shock_magnitude
0.0,-0.5,0,2,2.03518868761537,2.2082979026335208,0.06944444444444445,1,1.0,28,shock_magnitude
0.0,-0.5,0,2,2.769844976481134,4.419818188661061,0.01927437641723359,0,0.9133333333333333,29,shock_magnitude
0.1,-0.5,0,2,2.3673514429972426,5.854790717188175,0.05677867902665112,0,0.89,0,shock_magnitude
0.1,-0.5,0,2,1.3506363781585733,1.3357457497746834,0.09513742071881608,3,1.0,1,shock_magnitude
0.1,-0.5,0,2,0.7604977353745823,0.769055442994151,0.06189967982924223,0,1.0,2,shock_magnitude
0.1,-0.5,0,2,0.714719961265695,0.6362203919896823,0.14525139664804476,0,1.0,3,shock_magnitude
0.1,-0.5,0,2,2.5458058304748135,6.3413656195596655,0.13449691991786455,0,0.8,4,shock_magnitude
0.1,-0.5,0,2,3.60873988333125,2.8903547847431557,0.12928759894459105,2,1.0,5,shock_magnitude
0.1,-0.5,0,2,0.6074674896190706,0.683232370895504,0.15358744394618837,1,1.0,6,shock_magnitude
0.1,-0.5,0,2,0.7419641294261777,0.6938518434076187,0.12558139534883722,0,1.0,7,shock_magnitude
0.1,-0.5,0,2,2.3199385155631917,2.976269809456986,0.12256809338521396,0,0.65,8,shock_magnitude
0.1,-0.5,0,2,3.1510717665787435,3.6665959657431584,0.169811320754717,0,1.0,9,shock_magnitude
0.1,-0.5,0,2,2.197068879622851,1.8027383218476256,0.0932203389830509,0,1.0,10,shock_magnitude
0.1,-0.5,0,2,1.4921003919507245,1.0417567027945858,0.11406844106463879,0,1.0,11,shock_magnitude
0.1,-0.5,0,2,2.8069628208754467,2.4115308660087487,-0.0009267840593141271,0,0.93,12,shock_magnitude
0.1,-0.5,0,2,1.4801221297423892,1.2526133951138063,0.054915854738706846,0,1.0,13,shock_magnitude
0.1,-0.5,0,2,1.5040259524737545,1.216593174255375,0.13974591651542653,0,0.35,14,shock_magnitude
0.1,-0.5,0,2,1.4805863109251443,1.889681842638075,0.1780155642023346,0,1.0,15,shock_magnitude
0.1,-0.5,0,2,1.5054109673035008,1.8577603853915292,0.04801670146137781,0,0.9433333333333334,16,shock_magnitude
0.1,-0.5,0,2,1.9309971924371179,1.6692050170827732,0.0,0,0.32666666666666666,17,shock_magnitude
0.1,-0.5,0,2,1.195355925367562,1.165199745921684,0.0727459016393442,0,1.0,18,shock_magnitude
0.1,-0.5,0,2,1.244904650309679,1.4733032867350961,0.10240334378265409,0,0.9333333333333333,19,shock_magnitude
0.1,-0.5,0,2,1.14387634265655,1.059651611986615,0.07252298263534226,0,1.0,20,shock_magnitude
0.1,-0.5,0,2,2.0328931034586497,1.9537794934499118,0.11381215469613257,0,1.0,21,shock_magnitude
0.1,-0.5,0,2,2.3066881648227446,5.502352245987435,0.0789473684210526,0,0.9033333333333333,22,shock_magnitude
0.1,-0.5,0,2,1.1235886921723073,0.9432151888955813,0.05482233502538077,9,1.0,23,shock_magnitude
0.1,-0.5,0,2,1.569411239402571,1.1382693236026382,0.08294062205466539,0,1.0,24,shock_magnitude
0.1,-0.5,0,2,1.6514197914288036,2.047100085933495,0.03189300411522642,0,1.0,25,shock_magnitude
0.1,-0.5,0,2,2.6204693372781978,1.6958689199403632,0.1031434184675835,0,1.0,26,shock_magnitude
