hft_frac,run,diff_post_rv_per_volume,diff_post_rv_per_trade,diff_post_vol_per_sqrt_volume,diff_equal_volume_vol_ratio,diff_calendar_style_vol_ratio,diff_spread_ratio,diff_mm_stress_ratio,diff_post_window_volume,diff_post_window_trades,diff_target_post_volume,diff_post_volume_error,diff_avg_sub_iters,diff_threshold_hit_rate,diff_book_depleted_rate,diff_total_executed_volume,diff_total_executed_trades
0.0,0,-1.3034708199911574e-05,-3.730834885334686e-05,-5.873073241790001e-05,-1.4760212635022745,-0.36842367032862566,-0.20224413898680615,0.0,21.0,-10.0,0.0,21.0,0.5940000000000001,0.0,0.0,3126.0,1025.0
0.0,1,-3.1985022408636022e-06,-2.380634699629999e-05,9.062263877649996e-05,5.3770493233376415,0.31745243448438876,1.4166753607271612,0.0,24.0,101.0,0.0,24.0,0.79,0.0,0.0,3920.0,1544.0
0.0,2,3.4646225365962e-05,0.00011381171495770002,0.0002648519180417,-2.5662705634433953,-0.5813366372359645,-0.7488465102279285,0.0,22.0,-21.0,0.0,22.0,0.6599999999999999,0.0,0.0,4033.0,1200.0
0.0,3,-2.362681606056621e-05,-8.409464362258018e-05,-5.309582129909998e-05,-4.870485176625303,-1.7878920146131285,-2.1679692202537963,0.08999999999999997,41.0,101.0,0.0,41.0,0.8680000000000001,0.0,0.0,3596.0,1331.0
0.0,4,-1.1876957204482114e-05,-3.612383994330818e-05,-5.075170638369999e-05,-3.5793021180015536,-1.9877253050083656,-2.0489758557107387,0.023333333333333206,19.0,33.0,0.0,19.0,0.6160000000000001,0.0,0.0,2413.0,1012.0
0.0,5,-5.824714943274949e-05,-0.00019653795304915597,-0.0002758719266681,-6.968551011504269,-1.9499710086889768,-2.2072201896942616,0.0,30.0,230.0,0.0,30.0,0.6819999999999999,0.0,0.0,3644.0,1168.0
0.0,6,7.578575349806927e-06,2.3600676913905653e-05,0.00013235537326290002,1.4291370331101052,0.5733488029220578,0.36451755018309784,0.0,24.0,-41.0,0.0,24.0,0.6599999999999999,0.0,0.0,3223.0,1163.0
0.0,7,-5.971231265660208e-06,-1.9422404809544838e-05,1.1147033602999974e-05,3.3680022746206606,2.9447310485988267,3.579078188263855,0.0,8.0,45.0,0.0,8.0,0.548,0.0,0.0,3384.0,1299.0
0.0,8,2.949119120571894e-05,8.87672474428708e-05,0.0002688941621729,1.165540853828375,0.43699475848599656,0.3472553656708375,0.0,41.0,-17.0,0.0,41.0,0.6319999999999999,0.0,0.0,4021.0,1299.0
0.0,9,-0.00011159175922292526,-0.00037995214685059367,-0.0004874715500771,-20.672328651716693,-3.3731242693136267,-4.667942489598416,0.08666666666666678,18.0,366.0,0.0,18.0,0.968,0.0,0.0,3450.0,1627.0
0.0,10,5.0115847351583184e-05,0.00015818255962333347,0.0004036757148102,6.2111397857499435,0.7869469615591174,1.3947672280266412,0.0,24.0,-121.0,0.0,24.0,0.6020000000000001,0.0,0.0,4018.0,1144.0
0.0,11,-3.227446447135112e-05,-0.0001139509171149,-4.729212133310003e-05,2.422645037075652,-0.6702013924552328,0.45697292223018104,0.0,35.0,133.0,0.0,35.0,0.6519999999999999,0.0,0.0,4011.0,1319.0
0.0,12,-0.00023291603767761223,-0.0008072132669722155,-0.0006546701024894,-18.37121807886874,-2.99808883231309,-1.0660215138315996,0.0,31.0,251.0,0.0,31.0,0.802,0.0,0.0,5147.0,1693.0
0.0,13,9.563876622683463e-06,2.8775915357141885e-05,0.00012649261841609998,0.2944439533467733,-0.7453480559600187,-1.4182985447462817,0.79,21.0,49.0,0.0,21.0,0.708,0.0,0.0,4010.0,1215.0
0.0,14,-3.4927883570491505e-05,-0.00011141507000078326,-0.00010556708662229998,-3.1107018390530663,-0.7999370356433215,-1.380746534602105,0.0,29.0,73.0,0.0,29.0,0.6439999999999999,0.0,0.0,2931.0,1249.0
0.0,15,1.2756989401476168e-05,4.408742418661773e-05,0.0001812459193072,1.6283538848508665,1.2476483768767448,1.2584070940138439,0.0,13.0,-169.0,0.0,13.0,0.3879999999999999,0.0,0.0,2907.0,921.0
0.0,16,2.5006597300199322e-05,7.372811922264598e-05,0.00023794985623339999,6.193040164671311,0.47699440384216363,0.4096915387255953,0.0,31.0,36.0,0.0,31.0,0.6160000000000001,0.0,0.0,3568.0,1226.0
0.0,17,-9.688758968768852e-06,-3.235659419268294e-05,-1.4374693713699977e-05,-1.2504602950561794,-0.7649127057287153,-0.21032656285286944,0.0,41.0,92.0,0.0,41.0,0.5720000000000001,0.0,0.0,1833.0,1113.0
0.0,18,-6.211386882515883e-06,-1.9107590864610513e-05,-3.22522822037e-05,-1.1821831880862734,-0.9952915471965773,-0.7502282135304106,0.026666666666666616,29.0,56.0,0.0,29.0,0.71,0.0,0.0,3219.0,1161.0
0.0,19,-1.8648697170927845e-05,-5.616254778009853e-05,-7.613296294990002e-05,-4.233954094733704,-1.6117069222902818,-1.6138549258114152,0.0,24.0,58.0,0.0,24.0,0.6539999999999999,0.0,0.0,3331.0,1130.0
0.0,20,-2.9114075100298216e-05,-7.954240558640843e-05,-6.374819510260001e-05,-0.8687055004179927,0.5053475109357923,1.2960550493771905,0.0,15.0,-75.0,0.0,15.0,0.5960000000000001,0.0,0.0,3515.0,1104.0
0.0,21,-6.659842485702553e-07,-2.33712893076325e-06,3.06943974663e-05,-1.4029548490323938,-0.5837812822987223,-1.9539751508616696,0.2566666666666667,34.0,41.0,0.0,34.0,0.6659999999999999,0.0,0.0,2484.0,1019.0
0.0,22,2.369966576283634e-05,6.852935286779834e-05,0.00024252542092529999,0.13017395323087544,-0.8322498823833504,-1.4912564525802314,0.10333333333333339,25.0,36.0,0.0,25.0,0.6839999999999999,0.0,0.0,2987.0,1024.0
0.0,23,-9.05276566069087e-06,-3.255410089160358e-05,-2.67360588997e-05,-3.1624248756374262,-1.1590459926832815,-1.0484523326411095,0.046666666666666634,21.0,175.0,0.0,21.0,0.706,0.0,0.0,3526.0,1270.0
0.0,24,-7.938655126455022e-06,-2.153729904888577e-05,-1.3914723123800032e-05,-0.1883679596763486,-0.3189624947966575,-0.05763862405663278,0.0,10.0,-35.0,0.0,10.0,0.44399999999999995,0.0,0.0,2906.0,927.0
