fast_share,run,crisis_share,mm_panic_ratio,spread_ratio
0.0,0,0.7241379310344828,1.0,1.6192519328320176
0.0,1,0.7241379310344828,1.0,1.2139349069667753
0.0,2,0.8275862068965517,1.0,2.0196693960976293
0.0,3,0.7241379310344828,1.0,1.8901373149009562
0.0,4,0.7931034482758621,0.0,1.0419181462947151
0.0,5,0.8275862068965517,0.6933333333333334,1.6036108799662758
0.0,6,0.896551724137931,1.0,1.264735264252315
0.0,7,0.8275862068965517,0.93,1.7303866502952774
0.0,8,0.896551724137931,1.0,1.549134821798781
0.0,9,0.7931034482758621,0.9166666666666666,2.481747691231313
0.1,0,0.8620689655172413,0.99,1.4269851626770746
0.1,1,0.896551724137931,0.97,1.5711234265098852
0.1,2,0.7931034482758621,1.0,1.4185255197940254
0.1,3,0.8275862068965517,0.9066666666666666,1.9758595834012969
0.1,4,0.7241379310344828,0.9566666666666667,1.6019997860456943
0.1,5,0.7241379310344828,1.0,1.6302743451806814
0.1,6,0.8620689655172413,0.7766666666666666,2.1841527235388245
0.1,7,0.8275862068965517,0.9933333333333333,1.4108100895455
0.1,8,0.6896551724137931,0.05,1.7921278121928634
0.1,9,0.8620689655172413,1.0,1.7201399746573898
0.2,0,0.8275862068965517,1.0,1.1362677842643663
0.2,1,0.7241379310344828,0.9233333333333333,1.8291093794881135
0.2,2,0.8620689655172413,0.0033333333333333335,1.9037410921104234
0.2,3,0.7586206896551724,1.0,1.7669457175345713
0.2,4,0.8620689655172413,1.0,1.4733011367935511
0.2,5,0.8620689655172413,0.4166666666666667,1.4472532633196016
0.2,6,0.896551724137931,0.9733333333333334,1.3905995756471836
0.2,7,0.8275862068965517,0.6566666666666666,1.4233646415591166
0.2,8,0.896551724137931,1.0,1.0968944511358942
0.2,9,0.9310344827586207,1.0,1.0169853664526747
0.3,0,0.8275862068965517,0.9933333333333333,1.5071524527438522
0.3,1,0.7931034482758621,1.0,1.3254948861127545
0.3,2,0.9655172413793104,0.9733333333333334,3.2883369073676203
0.3,3,0.6896551724137931,1.0,1.5190887949171554
0.3,4,0.7931034482758621,0.9933333333333333,1.6405796161676889
0.3,5,0.8620689655172413,1.0,1.1074752270387846
0.3,6,0.8275862068965517,1.0,1.1531799946984642
0.3,7,0.8620689655172413,1.0,0.8426695798068975
0.3,8,0.6896551724137931,1.0,1.2555349812126013
0.3,9,0.8620689655172413,1.0,0.9593116350735912
0.4,0,0.8620689655172413,1.0,1.8723438117866962
0.4,1,0.7931034482758621,0.9866666666666667,1.6392187408520458
0.4,2,0.7931034482758621,1.0,1.3773944908740323
0.4,3,0.9310344827586207,0.5033333333333333,1.2572854457447105
0.4,4,0.8275862068965517,1.0,1.64307655212275
0.4,5,0.8620689655172413,1.0,1.099007533785866
0.4,6,0.7241379310344828,1.0,1.278743761387163
0.4,7,0.7241379310344828,0.9966666666666667,2.2312201777512484
0.4,8,0.8275862068965517,1.0,1.7593790374723255
0.4,9,0.7586206896551724,0.99,1.3978581754131851
0.5,0,0.7931034482758621,1.0,1.4401585193959605
0.5,1,0.9310344827586207,0.9933333333333333,1.4132846278704072
0.5,2,0.8620689655172413,1.0,1.5373097481681972
0.5,3,0.6896551724137931,1.0,1.466726338126511
0.5,4,0.8275862068965517,1.0,1.170409099912382
0.5,5,0.8620689655172413,0.9833333333333333,1.542211362732417
0.5,6,0.7586206896551724,0.9966666666666667,1.4510163479354656
0.5,7,0.7931034482758621,1.0,1.3885902216369546
0.5,8,0.7241379310344828,1.0,1.8505842299972295
0.5,9,0.7586206896551724,1.0,1.3554332427829032
0.6,0,0.7586206896551724,1.0,2.357744993750696
0.6,1,0.8275862068965517,1.0,1.4352489023944723
0.6,2,0.8620689655172413,0.99,1.551123858171425
0.6,3,0.8620689655172413,1.0,1.111095445752802
0.6,4,0.7931034482758621,1.0,1.4813436682944798
0.6,5,0.7586206896551724,1.0,1.1497394033781176
0.6,6,0.7241379310344828,1.0,1.2549132024125953
0.6,7,0.6896551724137931,1.0,0.974816551492777
0.6,8,0.8275862068965517,0.97,1.3976141507430722
0.6,9,0.7586206896551724,1.0,1.8536076390872036
0.7,0,0.7931034482758621,1.0,1.1993378188943973
0.7,1,0.7931034482758621,1.0,1.9474425989308373
0.7,2,0.7241379310344828,0.9966666666666667,2.8935387388166727
0.7,3,0.8275862068965517,0.7366666666666667,1.431934920382931
0.7,4,0.8275862068965517,0.99,1.816007990256293
0.7,5,0.7586206896551724,1.0,1.6163133970148933
0.7,6,0.8275862068965517,1.0,1.2390138706920724
0.7,7,0.7241379310344828,1.0,1.3458496682572585
0.7,8,0.8620689655172413,1.0,2.041505002307334
0.7,9,0.7586206896551724,0.99,2.197437789286669
0.8,0,0.8275862068965517,1.0,1.1279005769202304
0.8,1,0.8620689655172413,0.99,2.323092285272994
0.8,2,0.7586206896551724,1.0,1.1100853750942317
0.8,3,0.8620689655172413,1.0,1.4598607443959373
0.8,4,0.8275862068965517,1.0,1.01018195613139
0.8,5,0.7241379310344828,0.9966666666666667,2.6230455157083794
0.8,6,0.7586206896551724,1.0,1.9701110143530878
0.8,7,0.7931034482758621,1.0,1.6890962513352454
0.8,8,0.7586206896551724,1.0,1.8791366365113986
0.8,9,0.8275862068965517,1.0,1.450397461183788
0.9,0,0.8620689655172413,1.0,1.7239593116131904
0.9,1,0.8275862068965517,1.0,2.088744668637743
0.9,2,0.7931034482758621,1.0,1.0041145420710413
0.9,3,0.8620689655172413,1.0,1.5769487669509898
0.9,4,0.8620689655172413,1.0,1.7642086071761691
0.9,5,0.8620689655172413,0.95,1.6537983955521642
0.9,6,0.8620689655172413,1.0,1.469241873787246
0.9,7,0.7586206896551724,1.0,1.0777868445945635
0.9,8,0.8275862068965517,1.0,1.0639800153350867
0.9,9,0.7241379310344828,1.0,1.5814418096366358
1.0,0,0.7586206896551724,0.9866666666666667,1.5886873825457861
1.0,1,0.6551724137931034,1.0,1.8887934741178927
1.0,2,0.9310344827586207,1.0,2.0656494532278655
1.0,3,0.896551724137931,1.0,1.3019850885090603
1.0,4,0.7931034482758621,1.0,1.1126492663269514
1.0,5,0.7586206896551724,1.0,1.2818509312555568
1.0,6,0.8275862068965517,1.0,1.9968512107301433
1.0,7,0.896551724137931,0.9933333333333333,2.452521816530115
1.0,8,0.7586206896551724,1.0,1.3174155124553903
1.0,9,0.8275862068965517,1.0,1.5067185258523137
