fast_share,run,vol_ratio,spread_ratio,recovery_time,max_drawdown,mm_panic_ratio
0.0,0,1.6665605768963045,1.6192519328320176,20,0.16131830008673023,1.0
0.0,1,1.2538654713367516,1.2139349069667753,300,0.11825487944890928,1.0
0.0,2,1.820864933873909,2.0196693960976293,97,0.11740890688259104,1.0
0.0,3,1.8767038957667912,1.8901373149009562,11,0.09351145038167936,1.0
0.0,4,1.2275206773251364,1.0419181462947151,300,0.09677419354838718,0.0
0.0,5,1.5997033111444228,1.6036108799662758,23,0.1044776119402985,0.6933333333333334
0.0,6,1.4708558871529362,1.264735264252315,17,0.09819639278557112,1.0
0.0,7,2.006605037867143,1.7303866502952774,15,0.1512059369202226,0.93
0.0,8,1.398647410462805,1.549134821798781,47,0.09664292980671414,1.0
0.0,9,2.3396149708351164,2.481747691231313,22,0.10261374636979666,0.9166666666666666
0.0,10,1.3289743257571027,1.4371296042571808,44,0.111984282907662,1.0
0.0,11,2.4163029481345815,1.8726855872958232,35,0.10416666666666667,0.9766666666666667
0.0,12,1.5815835625006225,1.7160667466700221,24,0.10076775431861804,0.9066666666666666
0.0,13,1.3930267226827588,1.1738585157945998,16,0.08837209302325581,1.0
0.0,14,1.3381402701056744,1.3549380177372259,12,0.098330241187384,1.0
0.0,15,1.6407207181107983,2.1399103686404364,300,0.1038696537678208,0.9733333333333334
0.0,16,1.8390846980403002,2.386093134152272,26,0.10425101214574896,0.28
0.0,17,2.278579777646102,2.191339960094896,34,0.10180780209324443,0.91
0.0,18,1.24718166308405,1.5622608322828662,19,0.12931798051372903,1.0
0.0,19,1.6720611953886462,1.6750864554985059,11,0.09800190294957181,1.0
0.0,20,3.065190178920265,3.599858668988512,129,0.10982048574445623,0.89
0.0,21,1.5755474920079555,1.7989973298028203,298,0.10000000000000006,0.9833333333333333
0.0,22,1.4847788455404212,2.706014720099484,75,0.12334352701325173,0.9566666666666667
0.0,23,1.8029475003004019,2.1712005647382036,300,0.18459915611814345,0.9966666666666667
0.0,24,2.714833254129733,3.7584766769386757,185,0.11434511434511434,1.0
0.0,25,1.07004571699902,1.0281384130833615,9,0.09936189608021882,1.0
0.0,26,1.963013001952002,2.0855249079885447,263,0.10943775100401598,0.7466666666666667
0.0,27,1.222427500690517,1.2620248299785313,221,0.10194174757281553,1.0
0.0,28,1.6830811133270565,2.0807821509046525,86,0.10212335692618815,0.8
0.0,29,2.0607696629984127,2.4644578586645753,13,0.09158186864014793,1.0
0.1,0,1.5221898439519175,1.4269851626770746,31,0.09724950884086436,0.99
0.1,1,1.3105982069755577,1.5711234265098852,19,0.09674234945705822,0.97
0.1,2,1.306387274234052,1.4185255197940254,24,0.11758584807492194,1.0
0.1,3,1.6240377488738904,1.9758595834012969,29,0.10805500982318271,0.9066666666666666
0.1,4,1.6991080921275974,1.6019997860456943,36,0.10351377018043677,0.9566666666666667
0.1,5,1.5492254588227365,1.6302743451806814,17,0.0995260663507109,1.0
0.1,6,2.0652246464038777,2.1841527235388245,27,0.10727969348659006,0.7766666666666666
0.1,7,1.2762663999445245,1.4108100895455,300,0.09603960396039607,0.9933333333333333
0.1,8,1.7903616988221267,1.7921278121928634,27,0.16081330868761556,0.05
0.1,9,1.6862888838060412,1.7201399746573898,16,0.08895131086142323,1.0
0.1,10,1.504881493371463,1.4293036102604595,39,0.10897435897435886,0.98
0.1,11,0.9134494871065119,1.0339835357391585,69,0.11318553092182033,1.0
0.1,12,0.7033661595276037,0.7706127806947211,300,0.17429193899782136,1.0
0.1,13,1.0736785012565373,0.9954221145482292,6,0.11981981981981979,1.0
0.1,14,0.8825344171156464,1.0603502185630722,300,0.10082304526748968,1.0
0.1,15,1.1765335274318272,1.0137947045908164,17,0.10893032384690882,1.0
0.1,16,1.9539899536287484,3.077036271695534,120,0.10395010395010394,0.96
0.1,17,1.119689579471952,1.5782946504079232,300,0.10682819383259916,1.0
0.1,18,1.305948590752024,1.362045791588329,44,0.12627291242362532,1.0
0.1,19,1.6976814600117036,1.3331674285116704,75,0.10291060291060297,1.0
0.1,20,1.0133271722007244,1.2673210246421258,32,0.12345679012345678,1.0
0.1,21,1.451134254865752,1.2176151658207603,33,0.09900990099009901,0.8833333333333333
0.1,22,0.9583429418839773,1.1131860779888296,19,0.10582524271844666,1.0
0.1,23,1.8349122646909815,2.175573455645309,18,0.10660377358490564,0.9966666666666667
0.1,24,1.2440391183459607,1.430112514669707,19,0.1356466876971608,1.0
0.1,25,1.4125010774293796,1.5556963838568778,12,0.15690168818272093,1.0
0.1,26,1.0953169989016935,1.006923639046889,13,0.0945454545454546,1.0
0.1,27,1.9941465853921303,1.9450633814442,300,0.16089613034623215,0.8966666666666666
0.1,28,1.2937145021219763,1.2194325177150194,83,0.10125260960334033,0.53
0.1,29,1.6794571637027726,1.6318604025995778,300,0.14101290963257201,0.6866666666666666
0.2,0,1.103939695911679,1.1362677842643663,35,0.10389610389610399,1.0
0.2,1,1.9479866214154904,1.8291093794881135,31,0.11288711288711287,0.9233333333333333
0.2,2,1.8324173130413801,1.9037410921104234,18,0.10009910802775032,0.0033333333333333335
0.2,3,2.1536221034852856,1.7669457175345713,11,0.09608208955223878,1.0
0.2,4,1.4092429406090523,1.4733011367935511,20,0.1044932079414838,1.0
0.2,5,1.6962277342412102,1.4472532633196016,15,0.08196721311475409,0.4166666666666667
0.2,6,1.5418130817614137,1.3905995756471836,24,0.09738955823293162,0.9733333333333334
0.2,7,1.290335528143422,1.4233646415591166,24,0.13946587537091984,0.6566666666666666
0.2,8,1.1513655539917689,1.0968944511358942,11,0.097029702970297,1.0
0.2,9,1.0376493972371716,1.0169853664526747,53,0.1268817204301075,1.0
0.2,10,1.5405395693364798,1.4994761376065735,24,0.08497409326424873,1.0
0.2,11,1.197960090990819,1.2265108567781422,8,0.09593023255813958,1.0
0.2,12,1.3226932019693793,1.3807682249275892,56,0.10957324106113032,1.0
0.2,13,0.9307964474275144,1.245321309857789,300,0.19603524229074887,1.0
