mode,hft_frac,n_runs,post_rv_per_volume_mean,post_rv_per_volume_std,post_rv_per_volume_ci_low,post_rv_per_volume_ci_high,post_rv_per_trade_mean,post_rv_per_trade_std,post_rv_per_trade_ci_low,post_rv_per_trade_ci_high,post_vol_per_sqrt_volume_mean,post_vol_per_sqrt_volume_std,post_vol_per_sqrt_volume_ci_low,post_vol_per_sqrt_volume_ci_high,equal_volume_vol_ratio_mean,equal_volume_vol_ratio_std,equal_volume_vol_ratio_ci_low,equal_volume_vol_ratio_ci_high,calendar_style_vol_ratio_mean,calendar_style_vol_ratio_std,calendar_style_vol_ratio_ci_low,calendar_style_vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,mm_stress_ratio_mean,mm_stress_ratio_std,mm_stress_ratio_ci_low,mm_stress_ratio_ci_high,post_window_volume_mean,post_window_volume_std,post_window_volume_ci_low,post_window_volume_ci_high,post_window_trades_mean,post_window_trades_std,post_window_trades_ci_low,post_window_trades_ci_high,target_post_volume_mean,target_post_volume_std,target_post_volume_ci_low,target_post_volume_ci_high,post_volume_error_mean,post_volume_error_std,post_volume_error_ci_low,post_volume_error_ci_high,avg_sub_iters_mean,avg_sub_iters_std,avg_sub_iters_ci_low,avg_sub_iters_ci_high,threshold_hit_rate_mean,threshold_hit_rate_std,threshold_hit_rate_ci_low,threshold_hit_rate_ci_high,book_depleted_rate_mean,book_depleted_rate_std,book_depleted_rate_ci_low,book_depleted_rate_ci_high,total_executed_volume_mean,total_executed_volume_std,total_executed_volume_ci_low,total_executed_volume_ci_high,total_executed_trades_mean,total_executed_trades_std,total_executed_trades_ci_low,total_executed_trades_ci_high,vstar_postshock_mean,vstar_postshock_std,vstar_postshock_ci_low,vstar_postshock_ci_high
calendar,0.0,50,4.9433142361384196e-05,4.391466759747867e-05,3.79882023350059e-05,6.223775864562315e-05,0.00015721813398559867,0.0001446797993052874,0.00011917662893033751,0.00019999568124611625,0.00037324348509413407,0.0001641736252138892,0.00033109262844467673,0.0004211580242751617,4.249583734400241,3.1149637952245746,3.4275672485466684,5.135161462767294,2.2716925226697646,1.0815049738867972,1.9992946775538232,2.575418270882879,2.321809076343901,1.099850986815174,2.04433178709536,2.6378750661011985,0.0,0.0,0.0,0.0,3793.5,316.0298519870216,3709.7765000000004,3880.5544999999997,1219.62,57.09780009343796,1204.1505000000002,1236.1805000000002,3805.38,317.4475942609123,3720.7920000000004,3893.517,-11.88,6.15659593195686,-13.5805,-10.1995,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6446.16,483.8297204258404,6309.3189999999995,6584.598,2106.24,82.57354421412244,2084.058,2130.66,,,,
calendar,0.2,50,4.4002207206735226e-05,4.5956320130660484e-05,3.1486062997811865e-05,5.6238989275056045e-05,0.00014125573601421175,0.00015448020251985893,9.985647941309006e-05,0.00018258814493852523,0.000346369220093033,0.0001675468178850723,0.0003007669870800859,0.00039343132804214544,4.283848255019874,4.983477788616692,3.011323603362383,5.742119102090107,2.121548347978768,1.2365708287758472,1.8001068852576827,2.492593902368716,2.2211765851035996,1.3349505587644594,1.8734721992012042,2.6119903304781764,0.0,0.0,0.0,0.0,4124.46,332.8135599916051,4035.133,4218.1810000000005,1322.3,53.92294199567924,1308.3955,1336.9635,4138.38,332.7562624565939,4048.6425,4232.0914999999995,-13.92,6.754711129943279,-15.880500000000001,-12.16,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7059.82,543.9765785024055,6907.066,7209.9135,2289.02,90.7624146790253,2264.839,2313.3245,,,,
calendar,0.4,50,7.364689054353698e-05,8.605581913264874e-05,5.119081013251607e-05,9.716173444801713e-05,0.00024657648744853665,0.0003019239433952565,0.00016761143623599098,0.00032904391532570716,0.0004344306227075272,0.00024346367062066493,0.0003715167224360182,0.0004964263635477289,7.0097557010538285,13.457760877172683,3.9774846993860096,10.792168030050016,2.532525603670555,2.5939009190042928,1.9207084938909953,3.3006624082172316,2.5287645175074442,2.503687760027498,1.929093998576033,3.230263218805342,0.0,0.0,0.0,0.0,4565.9,403.9506056892781,4460.217500000001,4669.5985,1424.58,58.621612647450725,1409.617,1440.7095,4580.88,404.4416983286204,4475.208500000001,4686.1085,-14.98,7.6117256484281395,-17.3005,-12.92,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7707.56,499.14036960701605,7573.5695,7849.124,2451.54,93.38907203474186,2426.7329999999997,2478.975,,,,
calendar,0.6,50,8.087463125118277e-05,7.473816959199946e-05,6.102612887472059e-05,0.00010121017946285354,0.0002686864586674398,0.00025105272200258086,0.00020280260802005303,0.00033868536193252033,0.00047140371827893976,0.0002232200558390578,0.0004101230296081274,0.0005333906844221779,7.232755856607671,13.460158864738474,4.444241108150826,11.519170220337223,2.6634087277375658,2.207948376951367,2.1356932538899436,3.300392067829136,2.792029387201645,2.6216626137161234,2.144715193555324,3.5451761464871048,0.0,0.0,0.0,0.0,5075.24,364.67164766711016,4974.4135,5172.3515,1558.0,51.628184044716335,1543.979,1571.6345,5093.38,364.63523232548613,4992.0425000000005,5190.982,-18.14,9.56611792969844,-20.6805,-15.599,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8639.36,573.2040545593386,8490.782000000001,8800.3335,2673.48,105.64674290158824,2647.3105,2702.44,,,,
event_time,0.0,50,3.3648204141002077e-05,4.0527554503585165e-05,2.3644981637468766e-05,4.613537169811466e-05,0.00010641801024538268,0.0001369761243979391,7.285487088572845e-05,0.00014880526471258793,0.0003772449124270025,0.00019928074323044182,0.0003226513321588775,0.0004339495692470857,4.005690919190499,4.624178868241864,2.8849601218091867,5.39631203474862,2.0306074854929896,1.2373487753267625,1.7251789103932078,2.3621139285449444,2.183650645907385,1.5869993598774415,1.8271563738802756,2.630854971990615,0.0,0.0,0.0,0.0,3815.58,319.35298684070835,3731.873,3904.2045,1266.54,128.38052652889664,1230.7949999999998,1301.3805000000002,3805.38,317.4475942609123,3720.7920000000004,3893.517,10.2,7.007284839103269,8.3795,12.100499999999998,1.67616,0.11028041438042553,1.644677,1.7060460000000002,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9948.54,605.551636181121,9788.014000000001,10116.7505,3375.52,207.72639383062892,3320.9215,3432.8295000000003,12.7,1.1111677990074318,12.4,13.0
event_time,0.2,50,5.5715745332238864e-05,7.71016911805153e-05,3.732438655586716e-05,7.977121883536471e-05,0.00018255971398339457,0.0002638352811662399,0.00011935812548309316,0.000265249207920219,0.0004765717211987821,0.0002779309886823756,0.000404488880246742,0.0005585206579198251,5.595545900259114,7.117261396341969,3.8325207501264553,7.692748322668899,2.3113019441417912,1.273522388076796,1.9783912330612992,2.6455907757063204,2.152615232057573,1.1888038493434148,1.844585207487997,2.47318747989054,0.0,0.0,0.0,0.0,4150.14,333.6646862602377,4060.062,4243.2645,1328.9,131.64752724062623,1295.6645,1366.4080000000001,4138.38,332.7562624565939,4048.6425,4232.0914999999995,11.76,8.358205060701412,9.48,14.1,1.6233199999999999,0.11055231285482461,1.5946299999999995,1.6518429999999997,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10820.34,625.779207656098,10652.9375,10981.3825,3556.28,216.0481843459548,3500.6255,3613.8245,13.84,1.2013597738073507,13.52,14.18
event_time,0.4,50,5.967911287476891e-05,8.392489802884321e-05,3.869914769737684e-05,8.416650616044896e-05,0.00019446949461951818,0.0002816146587744653,0.00012335389235204125,0.0002781542137935056,0.0004796574102741218,0.00030379190329939273,0.0004011391439347175,0.0005655004841502085,5.184344904661459,7.07307133074718,3.4139985592140007,7.218012747172604,2.310637424439974,1.4441188297012266,1.9500557809483587,2.754880742017093,2.3602397846800445,1.7866294670296234,1.9303479105034185,2.9165016358935647,0.0,0.0,0.0,0.0,4590.34,404.4867551626886,4483.799,4694.9325,1464.7,160.8013415011561,1425.3539999999998,1508.665,4580.88,404.4416983286204,4475.208500000001,4686.1085,9.46,6.5782883450803835,7.7795000000000005,11.420499999999999,1.6141599999999996,0.12016440438679274,1.583745,1.6457249999999999,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11878.12,745.4094790305335,11680.596,12072.6695,3849.32,273.7737364604396,3781.831,3923.2925,15.28,1.3558640591662483,14.94,15.64
event_time,0.6,50,7.02897078035848e-05,6.509224627424647e-05,5.347438742757633e-05,8.934755322690916e-05,0.00023013214687635241,0.00021977197332850352,0.00017405490055748816,0.0002946298488159259,0.0005488218292858818,0.0002534699332279832,0.0004823122977072396,0.0006231575104313611,5.120440020731662,4.822100160169857,3.884629180838243,6.705011600709162,2.39634716967454,1.4345107086201678,2.0467631526421726,2.826269735202377,2.2357410452724475,1.4680767044331056,1.8631643788928838,2.667318602770103,0.0,0.0,0.0,0.0,5103.9,366.4732776960772,5001.4585,5202.0625,1596.94,133.8943247642768,1560.779,1635.5994999999998,5093.38,364.63523232548613,4992.0425000000005,5190.982,10.52,7.214611025197267,8.699499999999999,12.4,1.60856,0.10889953430308401,1.579674,1.63824,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13098.2,663.856789326353,12914.1355,13275.3665,4150.74,217.56911264127132,4091.4555,4213.2015,17.02,1.2534035296596486,16.68,17.38
