info_lag,book_volume,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_panic_ratio_mean,mm_panic_ratio_std,mm_panic_ratio_ci_low,mm_panic_ratio_ci_high,acf_abs_ret_1_mean,acf_abs_ret_1_std,acf_abs_ret_1_ci_low,acf_abs_ret_1_ci_high,acf_abs_ret_5_mean,acf_abs_ret_5_std,acf_abs_ret_5_ci_low,acf_abs_ret_5_ci_high,vol_persistence_mean,vol_persistence_std,vol_persistence_ci_low,vol_persistence_ci_high,high_vol_cluster_share_mean,high_vol_cluster_share_std,high_vol_cluster_share_ci_low,high_vol_cluster_share_ci_high
0,300,0.2,200,2.552619739298187,1.8274518885952789,2.3016911395225743,2.808149813961584,2.616183479468359,1.8704671653313705,2.3520745440008377,2.8672831100749887,0.22526059762066494,0.12452582696286349,0.20791716916179998,0.24226124595240733,23.235,45.963824261080774,17.8985,29.917874999999995,0.9633333333333334,0.12695946059385463,0.9458641666666667,0.9790958333333333,0.32312554985816744,0.11245652866709159,0.3069371252098455,0.33961203085226405,0.15791249139935915,0.10020477742566238,0.14444285584249117,0.17303820383010665,0.9609338115531565,0.012790661600613974,0.959134644422934,0.962782731241409,0.40302675585284287,0.2640800926616628,0.36659991638795986,0.44112249163879597
0,300,0.4,200,2.5316109353356246,1.7037675330192905,2.2942493938248734,2.7756175617306025,2.7879232409342336,2.212332081034834,2.502249134418805,3.0991343308574737,0.2865306664710717,0.1794476942633506,0.26285718870509983,0.3115093752693035,28.24,53.57043360645795,21.043875000000003,35.215,0.9562666666666666,0.16448031962635712,0.9319462500000001,0.9771008333333333,0.30712372562866985,0.12185839496498464,0.2902729451158053,0.3238008611548619,0.17274364422984154,0.10465895031433277,0.1583342038680217,0.1879749283914095,0.9567290340725816,0.06944064940317256,0.9463017560569262,0.9628658269265489,0.3674916387959866,0.24661514345704894,0.33053177257525085,0.40205936454849495
0,1500,0.2,200,2.2783381372928933,1.196335313398521,2.114308829961676,2.45231914640328,2.4071759491230065,1.53932125267369,2.1918796134302925,2.641816712565278,0.16143040655326957,0.05531547952665336,0.1537324905722851,0.16944161193389676,58.46,75.67152236133757,48.211875000000006,69.4125,0.9741666666666666,0.12826234195601777,0.953475,0.9899337500000001,0.30038511288876624,0.10944559367552739,0.28562282973657255,0.3147115060258804,0.1728712535883203,0.0965137269878764,0.15961371501728375,0.18622567650374475,0.9618562321957009,0.013747081659323705,0.9598941906374129,0.9636691804777051,0.43339464882943146,0.24960393309769954,0.39954974916387964,0.4675882107023412
0,1500,0.4,200,2.7248451802179714,1.789369423545146,2.4833223574268066,2.970878564343775,2.9845137366238776,2.2033475256404724,2.6857649448759826,3.3006578598769,0.17528280032717242,0.05634362707702946,0.16710282540213173,0.18260997271764207,48.915,65.63855478582583,40.0635,57.61,0.9812833333333333,0.08696872853595278,0.9679495833333333,0.9912179166666667,0.28770757444878897,0.09233381469966982,0.27419069547704955,0.30081189155188803,0.15785545679786034,0.09448952178190341,0.1444902329284104,0.17041232195310102,0.9611325792896843,0.012229960716164143,0.9593177806293574,0.9627322930330456,0.48595317725752507,0.2708228044671294,0.45046613712374584,0.5237244983277592
1,300,0.2,200,2.428473867616035,1.342501658829599,2.2544525342680206,2.6193328246483727,2.7699730703277954,1.8429655880986282,2.531130098696999,3.024650368082776,0.2544179957041739,0.13402197245413502,0.23752867775481842,0.27353194407754544,34.75,65.40363658384723,26.701875,43.712375,0.95515,0.14228917226097554,0.9338812500000001,0.9724179166666667,0.4526508122032663,0.1187779872890484,0.43542979860794484,0.46888048346526917,0.19742752644744435,0.10645215578744534,0.18271364994003783,0.21183498761295158,0.9669110374318626,0.011395239180512683,0.9653041270566632,0.9684278991060057,0.40615384615384614,0.24436442534490752,0.3730238294314381,0.44190635451505017
1,300,0.4,200,2.66447640465782,1.643472669417119,2.422552468876432,2.8754324601801744,3.248647289496091,2.200928152971339,2.944135461417754,3.559576755685879,0.33199390050280636,0.18048459911302994,0.3067887767462378,0.35748050044855556,42.87,74.98718885557928,32.762750000000004,54.44025,0.9503333333333334,0.14490490537748102,0.9301979166666666,0.9678191666666667,0.40368182857026697,0.11753620896910544,0.3878287718394433,0.42026306215200654,0.16992927878064276,0.10343278922628582,0.1555657592841651,0.18402173554564505,0.9638400807433904,0.012269492939544605,0.9621143485673799,0.9655605310351199,0.4367725752508361,0.27155365409194626,0.39973035117056854,0.4708887959866221
1,1500,0.2,200,2.6789764594795185,1.594569092693882,2.4656883320266125,2.90238391432275,3.334822675111492,2.8757415222173854,2.9683591570785315,3.7846361294344044,0.1688611231243805,0.05411442942230601,0.16105283375191,0.17690206618388357,45.235,63.633370207934924,37.145875000000004,54.6765,0.9500166666666666,0.16208389494505104,0.9267791666666666,0.9702645833333334,0.4257615051912389,0.10569618401330755,0.4112941251051659,0.4396017081050178,0.18228604406069088,0.11297477581972598,0.16801799574267132,0.19788203754253014,0.9665067426781297,0.01173515343111211,0.9648039909016891,0.9679967202440535,0.518695652173913,0.26533995356837925,0.48278678929765884,0.5525443143812708
1,1500,0.4,200,3.005713663816239,1.732548939782768,2.771516647724189,3.261053413484012,3.688307389286655,3.090232589654713,3.2955651981397502,4.155918146792696,0.18600545788044415,0.06406780620719213,0.17698607179953751,0.19540945756675446,46.655,65.24854664431983,38.258625,56.3555,0.9690333333333334,0.11677673200083603,0.9524308333333332,0.9841699999999999,0.37267530780857805,0.11508511666810158,0.35639066538461384,0.3867630587318774,0.182518598286023,0.10494224532792508,0.16762160176746366,0.19706961999733247,0.9650029264866782,0.013190483252618576,0.9631014928226854,0.9668555264415091,0.5433444816053512,0.27199185856473984,0.5062667224080268,0.5794928929765886
