hft_frac,info_lag,softlimit,metric,n_boot,n_base,n_delay,n_liquidity,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.0,1,20,acf_abs_ret_1,1000,30,30,30,30,0.0446704036596543,0.04643910450793112,-0.031315222015292354,0.12192872707418453,0.256,False,True
0.0,1,20,acf_abs_ret_5,1000,30,30,30,30,0.05450274458259105,0.05395033589049278,-0.02247161138200301,0.12886666324751647,0.168,False,True
0.0,1,20,vol_persistence,1000,30,30,30,30,0.008220336762240543,0.008204745803590766,0.0002877208225685296,0.016907644638282097,0.044,True,True
0.0,1,20,high_vol_cluster_share,1000,30,30,30,30,-0.038573021181717015,-0.03947168338907467,-0.1928372352285397,0.11706243032330002,0.604,False,False
0.0,1,20,vol_ratio,1000,30,30,30,30,-0.39345750354076303,-0.3931107888659287,-1.039636547761557,0.23925336484755924,0.232,False,False
0.0,1,50,acf_abs_ret_1,1000,30,30,30,30,-0.062046797409269994,-0.05978373734082642,-0.14356665177625988,0.025958701239447775,0.18,False,False
0.0,1,50,acf_abs_ret_5,1000,30,30,30,30,0.004692142349841805,0.0034051142191095433,-0.06899657469433619,0.07218393832510428,0.912,False,True
0.0,1,50,vol_persistence,1000,30,30,30,30,-0.003066022519253142,-0.0030159800188750917,-0.010902111952498988,0.005638237391635837,0.468,False,False
0.0,1,50,high_vol_cluster_share,1000,30,30,30,30,-0.16967670011148295,-0.1715396878483835,-0.3563740245261985,0.008924191750278837,0.068,False,False
0.0,1,50,vol_ratio,1000,30,30,30,30,-0.6747766205697685,-0.682166481558612,-1.417788844360332,0.0428947752793551,0.07,False,False
0.0,3,20,acf_abs_ret_1,1000,30,30,30,30,-0.03140144080533375,-0.032104261757162876,-0.10626288423496738,0.04051861757289779,0.426,False,False
0.0,3,20,acf_abs_ret_5,1000,30,30,30,30,-0.05572158290079482,-0.0550315953416533,-0.12309330728195896,0.021497956610337803,0.15,False,False
0.0,3,20,vol_persistence,1000,30,30,30,30,0.001660269907481804,0.0017353766981165308,-0.0068340224663613865,0.009786451764473564,0.672,False,True
0.0,3,20,high_vol_cluster_share,1000,30,30,30,30,-0.026198439241917504,-0.0299568561872909,-0.17965719063545157,0.12029264214046838,0.704,False,False
0.0,3,20,vol_ratio,1000,30,30,30,30,-0.5668174662264511,-0.5567537425059697,-1.1845453427137576,0.07012331282448452,0.088,False,False
0.0,3,50,acf_abs_ret_1,1000,30,30,30,30,-0.054240691681347486,-0.0532766261407874,-0.12838006404922397,0.0197212619737517,0.142,False,False
0.0,3,50,acf_abs_ret_5,1000,30,30,30,30,-0.0300066056121239,-0.030363510549222684,-0.09493260331771007,0.030332723657830695,0.362,False,False
0.0,3,50,vol_persistence,1000,30,30,30,30,-0.004740305158697167,-0.004687524354546193,-0.012000372682123677,0.0031897761394880713,0.216,False,False
0.0,3,50,high_vol_cluster_share,1000,30,30,30,30,-0.0928651059085841,-0.09470602006688958,-0.25921683389074685,0.06953734671125979,0.278,False,False
0.0,3,50,vol_ratio,1000,30,30,30,30,-0.6788817553125504,-0.6882789707961567,-1.3872180296927463,0.04942355819663015,0.078,False,False
0.0,5,20,acf_abs_ret_1,1000,30,30,30,30,-0.005479008092740767,-0.0045971152849204,-0.07598062233961113,0.06560713680570099,0.892,False,False
0.0,5,20,acf_abs_ret_5,1000,30,30,30,30,0.0024832392502452394,0.0007323438789765414,-0.07531069083162467,0.07896779580967847,0.974,False,True
0.0,5,20,vol_persistence,1000,30,30,30,30,0.005288976770297937,0.005334413716716177,-0.003324154696401793,0.013944220113054292,0.22,False,True
