mode,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_panic_ratio_mean,mm_panic_ratio_std,mm_panic_ratio_ci_low,mm_panic_ratio_ci_high,total_executed_volume_mean,total_executed_volume_std,total_executed_volume_ci_low,total_executed_volume_ci_high,post_volume_mean,post_volume_std,post_volume_ci_low,post_volume_ci_high,volume_per_tick_mean,volume_per_tick_std,volume_per_tick_ci_low,volume_per_tick_ci_high,realized_vol_per_volume_mean,realized_vol_per_volume_std,realized_vol_per_volume_ci_low,realized_vol_per_volume_ci_high,n_ticks_mean,n_ticks_std,n_ticks_ci_low,n_ticks_ci_high,volume_match_error_mean,volume_match_error_std,volume_match_error_ci_low,volume_match_error_ci_high
calendar,0.0,50,2.3434096925872696,1.8006954003087923,1.927322069909584,2.8975755406785164,2.6220516587440375,2.556952730776815,2.039358273567954,3.405159875734126,0.15042874946338688,0.04217206919316792,0.13979302295298,0.16202630696148496,30.12,48.821056012791054,19.16,44.400999999999996,0.0,0.0,0.0,0.0,6448.18,470.9282058892213,6321.436,6577.17,3745.94,295.0545027479444,3660.806,3827.7845,12.89636,0.9418564117784427,12.642872,13.15434,0.0003436718580777213,0.00016062762835438878,0.00030222127243888155,0.0003897497969714539,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0
calendar,0.2,50,2.3491251037062204,1.4056028201181507,1.98186836963222,2.744187811434212,2.6033610965289005,2.0174885102253564,2.093307776591429,3.2215226439626266,0.1792245395376273,0.05823720625870203,0.16494483682627872,0.196019232963616,39.16,66.63619167401696,22.52,59.288,0.0,0.0,0.0,0.0,7114.1,445.4991811531905,6996.7345000000005,7231.733499999999,4166.34,322.43965485096305,4073.7685,4254.8645,14.2282,0.890998362306381,13.993469,14.463467000000003,0.00041894294365657064,0.00017899417358493107,0.0003704188063028256,0.00046881989682115584,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0
calendar,0.4,50,2.7952456205629277,1.8552544426338564,2.310317170943057,3.3249618762317734,2.8705930079093345,1.9292167727188112,2.3533218482577762,3.391432647494977,0.21210265742609333,0.07048858621592845,0.19220087502431432,0.23089515605611288,47.68,65.50975624489307,30.657500000000002,66.9215,0.0,0.0,0.0,0.0,7797.8,551.0457220186923,7652.157,7944.476,4607.04,403.5365577855218,4505.3645,4710.6295,15.5956,1.1020914440373848,15.304314,15.888952,0.00044884103206904,0.0002346198667885157,0.0003899181818005555,0.0005123063194101811,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0
calendar,0.6,50,2.8862798431727628,2.1215105764333746,2.344005585253165,3.4890645733739274,2.9106912056474643,2.2323056259349214,2.378060689827685,3.535357864570182,0.22551214389597882,0.09606831675276857,0.2005239021641436,0.2528454680326419,46.6,61.71560845143319,30.95050000000001,64.88999999999999,0.0,0.0,0.0,0.0,8481.16,563.5728719880121,8323.036,8636.264000000001,4987.14,366.287776348107,4888.4365,5089.2725,16.962320000000002,1.1271457439760242,16.646072,17.272528,0.0004603665498081612,0.00022311402524698357,0.0004014941055068232,0.0005237768632731159,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0
event_time,0.0,50,2.2957947805968844,1.43878679920437,1.925952064030605,2.731313800328002,2.440801937858048,1.6797955724207678,2.026357340085537,2.9432097018984513,0.14542320140358672,0.04150826751751665,0.1335317131977407,0.15748293637364882,20.84,16.99623007418686,16.6,25.483499999999996,0.0,0.0,0.0,0.0,6455.96,471.31318761130217,6329.8330000000005,6585.0405,3727.24,294.8670790130941,3641.4725,3808.947,12.881769857782873,0.7667823253972107,12.670901353395344,13.091378490325518,0.00033756514843484857,0.00014950485505830374,0.00029858896499403164,0.00038115024104166777,501.42,26.27879567333359,494.4,508.5405,7.78,6.325491027160965,6.1395,9.620499999999998
event_time,0.2,50,2.498915854490075,1.823263296711798,2.0099273552976924,3.023216260965196,2.751354365658443,3.3210496779822782,2.0164640463032293,3.7809781705385856,0.1767994258660441,0.053444644675343204,0.16234462532949254,0.19149104792756858,33.76,58.76225360705282,20.0385,50.965999999999994,0.0,0.0,0.0,0.0,7121.46,446.881950809365,7003.159,7239.1485,4144.8,322.80132260811916,4052.4555,4233.1435,14.385835418544213,1.0231356564197565,14.112429907106602,14.684284332434492,0.0004272954663753934,0.00019673604488434316,0.0003726359280401084,0.00048220527722740654,496.22,30.882456548159823,487.4185,504.78,7.36,6.046621590033664,5.7195,9.080499999999999
event_time,0.4,50,2.7398277473393464,1.8121801837725642,2.2672177039016383,3.262884929103704,2.781513007687648,1.9421953933019196,2.243991285896141,3.3354881626628066,0.18343527137683666,0.07120519121410894,0.16411928896698036,0.2047437673764225,32.88,57.64197733440802,19.697000000000003,51.31699999999998,0.0,0.0,0.0,0.0,7805.96,550.6043418140559,7661.3925,7952.312,4589.36,404.1353965882105,4487.6365000000005,4692.083,15.712835809207284,1.0063666488881788,15.417614140451294,15.973809431541314,0.00042374860429320456,0.0002317749962036983,0.00036356818649195966,0.0004917963885435498,497.48,30.61161577584828,489.15950000000004,505.54150000000004,8.16,7.500639428524391,6.0995,10.12
event_time,0.6,50,2.7991094569078183,1.8107030100865817,2.3149950913100468,3.315695236641775,2.790059356937293,1.939940576512844,2.2621514016951143,3.3089713362970694,0.2188415211307287,0.09740521984490798,0.1925404444391816,0.24556643271040826,45.1,66.08382123161032,28.799000000000003,66.4015,0.0,0.0,0.0,0.0,8490.9,562.1322108267588,8332.9795,8645.5645,4966.52,366.3570935576381,4867.076,5068.055,17.058769675562736,1.2782115626345274,16.689314861789438,17.40164407418509,0.00045963027096330533,0.00023946334239131062,0.00039501050625892546,0.0005260118915480107,499.08,32.31215099681258,490.5375,507.9015,9.74,8.090836338294158,7.52,12.081499999999998
