run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
25,25020320,0.2,0,300,2,100,500,200,-10,2.1580467878447935,1.7794581297929228,0.2532110091743119,9,1.0,0.467510004456322,0.2509721091302753,0.9684678338675966,0.25752508361204013
26,26020320,0.2,0,300,2,100,500,200,-10,1.1027560898530835,1.0996966160553683,0.13786008230452682,9,1.0,0.3065451311669806,0.07886152279841908,0.9625657748608416,0.1505016722408027
27,27020320,0.2,0,300,2,100,500,200,-10,6.971489787150604,6.870800818965907,0.10471204188481675,17,0.9066666666666666,0.3290921712185141,0.07945511877033049,0.9638257943104733,0.8561872909698997
28,28020320,0.2,0,300,2,100,500,200,-10,1.9523136314894618,1.3839334621891166,0.3806818181818182,13,1.0,0.3886402546331911,0.3163271341519706,0.9735716575092893,0.2040133779264214
29,29020320,0.2,0,300,2,100,500,200,-10,1.5651811757148342,0.918777431873578,0.17990275526742303,99,1.0,0.4738188702490285,0.2948452979944732,0.9721700304305764,0.22742474916387959
30,30020320,0.2,0,300,2,100,500,200,-10,6.196600122345364,4.654481102419569,0.08862034239677742,1,1.0,0.23492188098525993,0.08529542461758347,0.9559209884336416,0.6588628762541806
31,31020320,0.2,0,300,2,100,500,200,-10,0.9510676978849786,0.8280533373148937,0.35251798561151076,21,1.0,0.34218048370810566,0.21339385129930935,0.9643588047287326,0.06688963210702341
32,32020320,0.2,0,300,2,100,500,200,-10,3.0876306617321365,2.38973598260649,0.24899598393574296,24,0.99,0.2789595256866636,0.0799990444829334,0.9534107971500924,0.5484949832775919
33,33020320,0.2,0,300,2,100,500,200,-10,1.0404905632320047,1.244393106952842,0.10530973451327438,14,1.0,0.39435438562586733,0.13850676783548505,0.962821376763728,0.056856187290969896
34,34020320,0.2,0,300,2,100,500,200,-10,4.385373777905949,6.5187141452717965,0.19936373276776242,21,1.0,0.1900965046426918,0.21540634016907406,0.9653268387179331,0.9364548494983278
35,35020320,0.2,0,300,2,100,500,200,-10,1.7494114991022076,1.8975798505389725,0.10841121495327098,19,1.0,0.2986823363897064,0.3400675409718525,0.9678797578057594,0.5551839464882943
36,36020320,0.2,0,300,2,100,500,200,-10,9.227784975339315,9.165492089734382,0.3923395445134575,16,0.9333333333333333,0.27971282632262495,0.1520917016088777,0.9521514469775847,0.9163879598662207
37,37020320,0.2,0,300,2,100,500,200,-10,1.3570121523276455,1.6398151142154076,0.21809045226130655,5,1.0,0.3461316907708532,0.2947943968868342,0.9775225222420522,0.18394648829431437
38,38020320,0.2,0,300,2,100,500,200,-10,4.765723104392827,4.724232541498337,0.25258799171842644,15,1.0,0.2266769140253555,0.1367239753702795,0.9388109652902649,0.7123745819397993
39,39020320,0.2,0,300,2,100,500,200,-10,1.4799149226045372,1.9178698319399552,0.5767955801104973,300,1.0,0.3214040889071055,0.06977608287246041,0.9498658794673877,0.31438127090301005
40,40020320,0.2,0,300,2,100,500,200,-10,3.492381851581988,2.936574323947016,0.18055555555555564,13,1.0,0.11921993820950393,0.04791925149919105,0.9437670782110215,0.7290969899665551
41,41020320,0.2,0,300,2,100,500,200,-10,5.79363568949527,8.615492687303265,0.18913043478260877,13,0.95,0.3765817819912033,0.043820680800559314,0.9611505484312484,0.8963210702341137
42,42020320,0.2,0,300,2,100,500,200,-10,1.8651444027152737,1.5213985332508744,0.42415458937198064,16,1.0,0.2537538095530408,0.09553495597873571,0.9391465235997923,0.23411371237458195
