hft_frac,info_lag,book_volume,baseline_lag,baseline_book_volume,interaction_acf_abs_ret_1,baseline_acf_abs_ret_1,delay_only_acf_abs_ret_1,liquidity_only_acf_abs_ret_1,combined_acf_abs_ret_1,interaction_acf_abs_ret_5,baseline_acf_abs_ret_5,delay_only_acf_abs_ret_5,liquidity_only_acf_abs_ret_5,combined_acf_abs_ret_5,interaction_vol_persistence,baseline_vol_persistence,delay_only_vol_persistence,liquidity_only_vol_persistence,combined_vol_persistence,interaction_high_vol_cluster_share,baseline_high_vol_cluster_share,delay_only_high_vol_cluster_share,liquidity_only_high_vol_cluster_share,combined_high_vol_cluster_share,interaction_vol_ratio,baseline_vol_ratio,delay_only_vol_ratio,liquidity_only_vol_ratio,combined_vol_ratio
0.0,1,300,0,1500,0.003397856682961331,0.3078466695276294,0.49736467428438186,0.2848662999275706,0.4777821613672844,-0.08400610331398636,0.14937943161910316,0.25379377921037083,0.1745940963620713,0.1950023406393526,0.0037705694628459296,0.9634011765161298,0.9717555001841713,0.9595376730186965,0.971662566149584,0.07558528428093642,0.4173913043478261,0.39899665551839464,0.43567447045707924,0.4928651059085842,0.38885426980622473,2.127446204228551,2.4806646859886667,2.2669447457557745,3.009017497322115
0.0,1,600,0,1500,0.015099191811168533,0.3078466695276294,0.49736467428438186,0.2983753757489259,0.5029925723168469,-0.03833565081919982,0.14937943161910316,0.25379377921037083,0.1272298284554065,0.19330852522747435,0.00259159058188585,0.9634011765161298,0.9717555001841713,0.9589900719097161,0.9699359861596435,0.018506131549609783,0.4173913043478261,0.39899665551839464,0.38963210702341133,0.38974358974358964,-0.24582976366904408,2.127446204228551,2.4806646859886667,1.943312457390458,2.05070117548153
0.0,1,1000,0,1500,0.007489837346907058,0.3078466695276294,0.49736467428438186,0.2588993773635018,0.45590721946716134,-0.03761102961208418,0.14937943161910316,0.25379377921037083,0.12685418377733199,0.19365750175651547,0.00038174217596298465,0.9634011765161298,0.9717555001841713,0.9589346310284756,0.9676706968724802,0.12575250836120422,0.4173913043478261,0.39899665551839464,0.3839464882943143,0.49130434782608706,0.11996683891198812,2.127446204228551,2.4806646859886667,1.9971664780239877,2.4703517986960914
0.0,3,300,0,1500,0.026036286329391367,0.3078466695276294,0.36984966162384864,0.2848662999275706,0.3729055783531812,0.005980954951672751,0.14937943161910316,0.2231200484309823,0.1745940963620713,0.2543156681256232,0.004535312750895915,0.9634011765161298,0.969829224348731,0.9595376730186965,0.9705010336021936,-0.10222965440356746,0.4173913043478261,0.5325529542920847,0.43567447045707924,0.4486064659977703,-0.20456649645554492,2.127446204228551,2.864880540298937,2.2669447457557745,2.7998125853706157
0.0,3,600,0,1500,-0.032758192459184876,0.3078466695276294,0.36984966162384864,0.2983753757489259,0.3276201753859603,0.030167176662286826,0.14937943161910316,0.2231200484309823,0.1272298284554065,0.23113762192957246,0.0027124688176519696,0.9634011765161298,0.969829224348731,0.9589900719097161,0.9681305885599693,-0.07123745819397975,0.4173913043478261,0.5325529542920847,0.38963210702341133,0.4335562987736902,-0.24238313516997856,2.127446204228551,2.864880540298937,1.943312457390458,2.4383636582908657
0.0,3,1000,0,1500,0.00371985517535367,0.3078466695276294,0.36984966162384864,0.2588993773635018,0.32462222463507473,0.02071309456374712,0.14937943161910316,0.2231200484309823,0.12685418377733199,0.22130789515295823,0.0015026051201473267,0.9634011765161298,0.969829224348731,0.9589346310284756,0.9668652839812242,0.06354515050167231,0.4173913043478261,0.5325529542920847,0.3839464882943143,0.5626532887402452,-0.19366219506945592,2.127446204228551,2.864880540298937,1.9971664780239877,2.540938619024918
0.0,5,300,0,1500,0.07685617906254272,0.3078466695276294,0.3377565861872696,0.2848662999275706,0.39163239564975355,0.0005336007908552376,0.14937943161910316,0.24024609637574984,0.1745940963620713,0.2659943619095732,0.00550974362183454,0.9634011765161298,0.9721125867382674,0.9595376730186965,0.9737588268626687,-0.13455964325529557,0.4173913043478261,0.5780379041248607,0.43567447045707924,0.4617614269788183,-0.4247202920178581,2.127446204228551,2.722238908273619,2.2669447457557745,2.4370171577829844
0.0,5,600,0,1500,0.047799942784149785,0.3078466695276294,0.3377565861872696,0.2983753757489259,0.3760852351927159,0.03456258966623785,0.14937943161910316,0.24024609637574984,0.1272298284554065,0.25265908287829103,0.004772926910987629,0.9634011765161298,0.9721125867382674,0.9589900719097161,0.9724744090428413,-0.12419175027870688,0.4173913043478261,0.5780379041248607,0.38963210702341133,0.42608695652173906,-0.20029575946883593,2.127446204228551,2.722238908273619,1.943312457390458,2.33780940196669
0.0,5,1000,0,1500,0.05969424976446491,0.3078466695276294,0.3377565861872696,0.2588993773635018,0.34850354378760695,0.02453348731491828,0.14937943161910316,0.24024609637574984,0.12685418377733199,0.24225433584889694,0.003410863412222631,0.9634011765161298,0.9721125867382674,0.9589346310284756,0.9710569046628359,-0.05094760312151608,0.4173913043478261,0.5780379041248607,0.3839464882943143,0.4936454849498328,-0.07272983371504393,2.127446204228551,2.722238908273619,1.9971664780239877,2.5192293483540116
0.2,1,300,0,1500,0.027754539285204216,0.32281702564868764,0.421888416036903,0.33099450316069057,0.45782043283411017,0.05350964683304793,0.19828447236870483,0.18184726751548688,0.1614595915611316,0.19853203354096158,0.0031094228201647978,0.9661077109906699,0.9681647570727168,0.9622806349470069,0.9674471038492185,-0.024749163879598635,0.4072463768115942,0.49420289855072463,0.3587513935340022,0.420958751393534,-0.2742001387968438,2.177704965909077,2.5645110148135206,2.318143798734217,2.430749708841817
