grid,speed_mult,shock_dp,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
shock_magnitude,2,-10.0,0.0,2.3123192439916047,1.6373545980418278,2.502640337788617,2.034716580240122,0.15686127897391888,0.05401858101660645,53.9,76.6484811015353,0.9286666666666666,0.23427004099389168,30
shock_magnitude,2,-10.0,0.1,2.49290837380964,1.1256199240012748,2.7641243712936716,1.6834518073711935,0.17695691357710297,0.04682634500068734,49.36666666666667,81.66773867464364,0.9902222222222222,0.023908082817537202,30
shock_magnitude,2,-10.0,0.2,1.9912953591512839,0.9445494839877757,2.300892960366452,1.2610330525912905,0.15169107939370416,0.04775492929595161,30.6,53.81936582616926,0.9975555555555555,0.009343727108105942,30
shock_magnitude,2,-10.0,0.3,2.2387535745259446,1.3282310039334009,2.6862294221406495,2.0284413453383148,0.15634105932384887,0.05439481583617046,22.4,17.50783076029222,0.9813333333333334,0.04072710790134333,30
shock_magnitude,2,-10.0,0.4,2.5758824940640346,1.2369287718715412,2.6312658690569206,1.3460764791762403,0.2048708756459832,0.08843357255146103,24.633333333333333,15.385804772768537,0.9882222222222222,0.03827440080972595,30
shock_magnitude,2,-10.0,0.5,3.0392529020322105,1.5039343541710402,3.257781237456091,2.0853480779782796,0.21146359194808947,0.0997023977274886,33.6,47.23718581941489,0.994,0.017251797618590272,30
shock_magnitude,2,-10.0,0.6,2.6993467818893895,2.119313322018645,2.594121529102109,2.1692003802989395,0.23873897226501503,0.09626688880759177,31.333333333333332,24.890565077656582,0.9878888888888889,0.0342123561436377,30
shock_magnitude,2,-10.0,0.7,3.2454549848584384,2.00844121139555,3.5604320794679367,2.4235333962760475,0.21683585283008,0.09290487882792303,42.06666666666667,51.74535350343451,0.9617777777777777,0.10790137874522886,30
shock_magnitude,2,-10.0,0.8,2.5768906714741413,1.3542031775265426,2.7717799058200407,1.785606956439741,0.2619625948950673,0.12815064146287528,42.5,50.747345777373184,0.9976666666666667,0.008890564976078262,30
shock_magnitude,2,-10.0,0.9,3.721872363712843,2.9504889393642912,3.873368370975512,3.0268130726547953,0.33565744496520256,0.16581497405439888,52.333333333333336,76.27867842070414,0.9852222222222221,0.05619263074176821,30
shock_magnitude,2,-10.0,1.0,3.3529920952902876,2.339870459771123,3.5570624322127533,2.8785971022911214,0.28594610958930095,0.13809905516964177,66.2,93.65173931039438,0.9766666666666667,0.10185633335084353,30
shock_magnitude,2,-5.0,0.0,1.9907770395595283,0.8777567784245828,2.0759264160123356,1.1268781531239742,0.10135548293076439,0.03570241089189529,14.566666666666666,19.318890760855943,0.9356666666666666,0.1736296097424352,30
shock_magnitude,2,-5.0,0.1,1.971268731836282,1.2073048606104424,2.19112952516454,1.5744546010444433,0.1209962427017962,0.04965054482990764,31.466666666666665,70.05354274106853,0.9410000000000001,0.2022235590036234,30
shock_magnitude,2,-5.0,0.2,2.484634695430147,1.1934498263158089,2.5851126323248503,1.2622550389658849,0.11444827302685269,0.05477674359220308,24.633333333333333,55.30011120106879,0.974,0.06214184737680641,30
shock_magnitude,2,-5.0,0.3,2.5475717922007974,0.9023632872626245,2.552856025583205,1.2049702289493904,0.1368160345468672,0.0623229153936953,12.466666666666667,18.18057571512336,0.9728888888888889,0.09328707118386693,30
shock_magnitude,2,-5.0,0.4,2.2417641400814277,1.1191172888469125,2.4834082820271584,1.3748993397995657,0.14664414384167404,0.05901726119728139,33.266666666666666,74.25488876664706,0.9301111111111111,0.16334502264841191,30
shock_magnitude,2,-5.0,0.5,2.328636436923142,1.1878375882587735,2.4480982738719073,1.6026804916389683,0.17794805361104918,0.09116479005424656,30.533333333333335,74.0473908517648,0.9484444444444444,0.14870509614472707,30
