regime,mode,volume_threshold,baseline_vol_ratio,threshold_1_3x,phi_star,max_vol_ratio,phi_at_max,n_runs_per_phi_min,n_runs_per_phi_max
calendar,calendar,,2.1247612171505437,2.762189582295707,0.7,3.134076596768131,0.9,30,30
event_time_V100,event_time,100.0,1.3865868067199045,1.802562848735876,,1.6280870297329346,0.3,30,30
event_time_V25,event_time,25.0,1.6190366168492638,2.104747601904043,0.5,3.1528777862428172,1.0,30,30
event_time_V50,event_time,50.0,1.6028817571253866,2.0837462842630026,0.7,2.339712487531918,0.7,30,30
