experiment,hft_frac,info_lag,liquidity_setting,metric,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point,p_holm,p_bh,significant_holm_5pct,significant_bh_5pct,metric_family,supports_original_h3,contradicts_original_h3
book_depth,0.0,5,book_volume=1000,acf_abs_ret_5,0.0245334873149183,0.0244081676487639,-0.046534718736227,0.0948154630190583,0.502,False,True,1.0,0.9329203539823009,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=1000,high_vol_cluster_share,-0.050947603121516,-0.0487688963210702,-0.2310312151616499,0.129551282051282,0.618,False,False,1.0,0.9548201438848921,False,False,context,False,False
book_depth,0.0,5,book_volume=1000,vol_persistence,0.0034108634122227,0.0032014024254745,-0.0058707779719745,0.0122757958350879,0.476,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=1000,vol_ratio,-0.0727298337150439,-0.0879587961060215,-1.0516421179513116,0.8767409986884616,0.852,False,False,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.0,5,book_volume=300,acf_abs_ret_1,0.0768561790625429,0.0774905208423551,0.0042997395318921,0.1498672737680836,0.038,True,True,1.0,0.72,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=300,acf_abs_ret_5,0.0005336007908553,0.0009887162666331,-0.0629759166907902,0.0672432727584966,0.986,False,True,1.0,0.9980000000000001,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=300,high_vol_cluster_share,-0.1345596432552953,-0.1334691192865106,-0.300381828316611,0.0479710144927535,0.14,False,False,1.0,0.7785365853658536,False,False,context,False,False
book_depth,0.0,5,book_volume=300,vol_persistence,0.0055097436218346,0.0050432619702353,-0.0033319731837843,0.0133417574178304,0.222,False,True,1.0,0.8823529411764706,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=300,vol_ratio,-0.4247202920178581,-0.4239355153555308,-1.261295834260609,0.3964017822696108,0.302,False,False,1.0,0.9024324324324324,False,False,context,False,False
book_depth,0.0,5,book_volume=600,acf_abs_ret_1,0.04779994278415,0.048688932162985,-0.0161239794867697,0.1152289776187389,0.15,False,True,1.0,0.7785365853658536,False,False,core_clustering,False,False
